id,artist,md5,phash,width,height,mimetype,rating,split,path
5322396,kurotea,6ae8c765df53bef4059c6c3cf55423ce,15844408582877787529,600.0,825.0,image/png,general,train,curated\train\5322396.png
5322337,kurotea,05ee4f507e76582cbe20aee0862e3c7b,9885306656036280942,868.0,1228.0,image/png,general,train,curated\train\5322337.png
5322327,kurotea,3093d2b4811699e0ceb436e5eaffe483,13805023662998426654,614.0,897.0,image/png,general,train,curated\train\5322327.png
5322282,kurotea,69529d5c9ac36d988b4cbc41c03b06ce,17502796588292786928,800.0,1100.0,image/png,general,train,curated\train\5322282.png
5322220,kurotea,6642fa84ff8887f872f765ff773fca68,17934770005650165156,600.0,1080.0,image/png,general,train,curated\train\5322220.png
5322193,kurotea,2d008d27c5c5ed15dd877173f258f2d5,13745310642527417008,630.0,911.0,image/png,general,train,curated\train\5322193.png
5322180,kurotea,f30a62bbb38a369e7a55d753fe658768,16004450817607219357,2181.0,3000.0,image/png,general,train,curated\train\5322180.png
5322177,kurotea,ee520b717821d6761dc9b55136f611c8,11227415828865031484,600.0,825.0,image/png,general,train,curated\train\5322177.png
5332099,selece,eb9bcf053c26e6ebd30ff061308aa706,10782408647725757041,900.0,1200.0,image/jpeg,general,train,curated\train\5332099.png
5296299,greenleaves,6954a17fa63341224a21d8efbdd1c322,15515219602003900711,2304.0,2359.0,image/jpeg,general,train,curated\train\5296299.png
5333175,aurahack,e8abc3785836740c1736bfa14c7a6018,11897921917030027911,1920.0,2714.0,image/jpeg,general,train,curated\train\5333175.png
5279602,quriltai,e300dc43ccd28a2c23c9d23eea360006,17549529559989794532,1470.0,1467.0,image/jpeg,general,train,curated\train\5279602.png
5314464,sato_masaki_(masayakofu),8f6ce11536f6db5767c190f5bc4f26f4,14322308747875795435,687.0,949.0,image/jpeg,general,train,curated\train\5314464.png
5353999,shabana_may,355cb9bea808786b76730da6c3ec9647,11877025854917850909,2400.0,3200.0,image/jpeg,general,train,curated\train\5353999.png
5304963,shabana_may,b5378226e8932acffe58589e51c29d75,15086254041003390489,2400.0,3200.0,image/jpeg,general,train,curated\train\5304963.png
5292569,shabana_may,cdc5330666d893bb95cce39fecded61d,10685099416734902119,2400.0,3200.0,image/jpeg,general,train,curated\train\5292569.png
5277223,shabana_may,f247bf9f474ea6eadb4f24ebbe0ab243,11049606255775030618,2400.0,3200.0,image/jpeg,general,train,curated\train\5277223.png
5274816,shabana_may,6644f524df690fdc554d9040cb8091e4,9532746141620757595,2400.0,3200.0,image/jpeg,general,train,curated\train\5274816.png
5261735,shabana_may,9b0ed29cc0bc63b129a46f9a885fc754,17604309323646750283,2400.0,3200.0,image/jpeg,general,train,curated\train\5261735.png
5259256,shabana_may,230979c4bee8137957c87df796797400,11032539362414226716,2400.0,3200.0,image/jpeg,general,train,curated\train\5259256.png
5243559,shabana_may,b2bb8060a06347f3f844100ab15d15a0,15333799393485566753,2400.0,3200.0,image/jpeg,general,train,curated\train\5243559.png
5247734,mizuki_kotora,5b274f768d46931a6a471f798386ce80,18166759833813487252,900.0,1000.0,image/png,general,train,curated\train\5247734.png
5322856,kawanami_eito,40292db0a11125de21ac01492dd56ccc,12147330377215348776,2894.0,4093.0,image/jpeg,general,train,curated\train\5322856.png
5344857,subako,2f94e30e9965b9259e2e30b590139bbf,15188517923102993726,1198.0,872.0,image/png,general,train,curated\train\5344857.png
5308406,subako,63f26102d2d09f4c08b6627d076fe3ca,17286108626682547024,1348.0,1145.0,image/png,general,train,curated\train\5308406.png
5275811,moko_eaka,d30b89bcfd904e0f1605d2c4a08f397c,15809205577677309283,1444.0,2048.0,image/jpeg,general,train,curated\train\5275811.png
5266782,moko_eaka,8127948ede09e1578d157d702b47e936,13858471923273393422,1668.0,2224.0,image/jpeg,general,train,curated\train\5266782.png
