sample_id,source_image,payload_index,classical_ber
0,5233584.png,0,0.0
1,5233584.png,1,0.0
2,5233584.png,2,0.0
3,5233584.png,3,0.0
4,5233584.png,4,0.0
5,5233584.png,5,0.0
6,5233584.png,6,0.0
7,5233584.png,7,0.0
8,5233614.png,0,0.0
9,5233614.png,1,0.0
10,5233614.png,2,0.0
11,5233614.png,3,0.0
12,5233614.png,4,0.0
13,5233614.png,5,0.0
14,5233614.png,6,0.0
15,5233614.png,7,0.0
16,5233676.png,0,0.0
17,5233676.png,1,0.0
18,5233676.png,2,0.0
19,5233676.png,3,0.0
20,5233676.png,4,0.0
21,5233676.png,5,0.0
22,5233676.png,6,0.0
23,5233676.png,7,0.0
24,5233692.png,0,0.0
25,5233692.png,1,0.0
26,5233692.png,2,0.0
27,5233692.png,3,0.0
28,5233692.png,4,0.0
29,5233692.png,5,0.0
30,5233692.png,6,0.0
31,5233692.png,7,0.0
