epoch,train_bce,train_ber,train_lh2_ber,train_hl2_ber,validation_bce,validation_macro_ber,is_best_checkpoint,clean_ber,clean_lh2_ber,clean_hl2_ber,clean_perfect_payloads,train_count_clean,jpeg90_ber,jpeg90_lh2_ber,jpeg90_hl2_ber,jpeg90_perfect_payloads,train_count_jpeg90,jpeg70_ber,jpeg70_lh2_ber,jpeg70_hl2_ber,jpeg70_perfect_payloads,train_count_jpeg70,jpeg50_ber,jpeg50_lh2_ber,jpeg50_hl2_ber,jpeg50_perfect_payloads,train_count_jpeg50,reencode1_ber,reencode1_lh2_ber,reencode1_hl2_ber,reencode1_perfect_payloads,train_count_reencode1,reencode2_ber,reencode2_lh2_ber,reencode2_hl2_ber,reencode2_perfect_payloads,train_count_reencode2,reencode3_ber,reencode3_lh2_ber,reencode3_hl2_ber,reencode3_perfect_payloads,train_count_reencode3
1,0.7394766211509705,0.43803125,0.440328125,0.435734375,0.6991642713546753,0.4566573660714286,True,0.4298828125,0.4259375,0.433828125,0,143,0.4425390625,0.440546875,0.44453125,0,143,0.4773046875,0.476015625,0.47859375,0,143,0.497265625,0.5025,0.49203125,0,143,0.447421875,0.44734375,0.4475,0,143,0.4509765625,0.45171875,0.450234375,0,143,0.4512109375,0.451015625,0.45140625,0,142
2,0.6784431338310242,0.32203125,0.30496875,0.33909375,0.6626756191253662,0.3397433035714285,True,0.247734375,0.238984375,0.256484375,0,143,0.2872265625,0.26953125,0.304921875,0,143,0.4203125,0.409609375,0.431015625,0,143,0.4659765625,0.469765625,0.4621875,0,143,0.3158984375,0.287421875,0.344375,0,143,0.3198046875,0.29234375,0.347265625,0,143,0.32125,0.29359375,0.34890625,0,142
3,0.6476731896400452,0.288859375,0.267875,0.30984375,0.6374980807304382,0.3028794642857143,True,0.1645703125,0.090703125,0.2384375,0,143,0.2534375,0.234765625,0.272109375,0,143,0.4040625,0.38734375,0.42078125,0,143,0.4630078125,0.464765625,0.46125,0,143,0.273671875,0.255078125,0.292265625,0,143,0.28,0.2634375,0.2965625,0,143,0.28140625,0.264140625,0.298671875,0,142
4,0.6219069957733154,0.27834375,0.26653125,0.29015625,0.6111745238304138,0.28733816964285713,True,0.09609375,0.094921875,0.097265625,1,143,0.2253515625,0.188125,0.262578125,0,143,0.40109375,0.387890625,0.414296875,0,143,0.461796875,0.46453125,0.4590625,0,143,0.2714453125,0.259140625,0.28375,0,143,0.2768359375,0.264609375,0.2890625,0,143,0.27875,0.266640625,0.290859375,0,142
5,0.5941042304039001,0.274609375,0.262671875,0.286546875,0.5832154750823975,0.27994977678571425,True,0.09078125,0.0878125,0.09375,1,143,0.1928515625,0.12859375,0.257109375,0,143,0.3987109375,0.387265625,0.41015625,0,143,0.4608203125,0.462890625,0.45875,0,143,0.267890625,0.2578125,0.27796875,0,143,0.2733203125,0.263203125,0.2834375,0,143,0.2752734375,0.2659375,0.284609375,0,142
6,0.5667487978935242,0.271765625,0.263,0.28053125,0.5583034157752991,0.2772544642857143,True,0.0857421875,0.086640625,0.08484375,0,143,0.1880859375,0.127578125,0.24859375,0,143,0.39796875,0.387265625,0.408671875,0,143,0.4610546875,0.465234375,0.456875,0,143,0.265859375,0.258125,0.27359375,0,143,0.27,0.26265625,0.27734375,0,143,0.2720703125,0.264375,0.279765625,0,142
7,0.5425962805747986,0.2608125,0.2526875,0.2689375,0.5367148518562317,0.2652622767857143,True,0.0718359375,0.0675,0.076171875,1,143,0.1498046875,0.114765625,0.18484375,0,143,0.3841015625,0.38265625,0.385546875,0,143,0.4601171875,0.46234375,0.457890625,0,143,0.2594140625,0.248515625,0.2703125,0,143,0.2644921875,0.25484375,0.274140625,0,143,0.2670703125,0.256796875,0.27734375,0,142
8,0.5211678147315979,0.2392109375,0.229921875,0.2485,0.5168489813804626,0.24806919642857145,True,0.034609375,0.03,0.03921875,10,143,0.124453125,0.09015625,0.15875,0,143,0.375390625,0.37328125,0.3775,0,143,0.457421875,0.457734375,0.457109375,0,143,0.2428515625,0.230390625,0.2553125,0,143,0.249140625,0.23875,0.25953125,0,143,0.2526171875,0.24140625,0.263828125,0,142
9,0.501145601272583,0.223234375,0.21640625,0.2300625,0.4992266893386841,0.23608258928571427,True,0.0117578125,0.012109375,0.01140625,52,143,0.1060546875,0.073984375,0.138125,0,143,0.3702734375,0.370625,0.369921875,0,143,0.456328125,0.45359375,0.4590625,0,143,0.229296875,0.220625,0.23796875,0,143,0.2381640625,0.231640625,0.2446875,0,143,0.240703125,0.2325,0.24890625,0,142
10,0.48413780331611633,0.20871875,0.207703125,0.209734375,0.485766738653183,0.21861049107142858,True,0.0042578125,0.004765625,0.00375,122,143,0.0969140625,0.064609375,0.12921875,0,143,0.368203125,0.36609375,0.3703125,0,143,0.45765625,0.453359375,0.461953125,0,143,0.19359375,0.211171875,0.176015625,0,143,0.203359375,0.22265625,0.1840625,0,143,0.2062890625,0.22515625,0.187421875,0,142
11,0.47235867381095886,0.20209375,0.20425,0.1999375,0.477478563785553,0.21056361607142857,True,0.0030078125,0.00328125,0.002734375,139,143,0.0639453125,0.060390625,0.0675,0,143,0.3523828125,0.365234375,0.33953125,0,143,0.4591796875,0.4534375,0.464921875,0,143,0.1909765625,0.207109375,0.17484375,0,143,0.2005859375,0.219140625,0.18203125,0,143,0.2038671875,0.221171875,0.1865625,0,142
12,0.4653512239456177,0.2007265625,0.202921875,0.19853125,0.47324854135513306,0.20926339285714285,True,0.0015625,0.001484375,0.001640625,163,143,0.062421875,0.05890625,0.0659375,0,143,0.351953125,0.36390625,0.34,0,143,0.4585546875,0.453046875,0.4640625,0,143,0.1894140625,0.20609375,0.172734375,0,143,0.1988671875,0.2178125,0.179921875,0,143,0.2020703125,0.219453125,0.1846875,0,142
13,0.46174943447113037,0.200140625,0.2024375,0.19784375,0.4710376560688019,0.20868303571428573,True,0.001484375,0.001484375,0.001484375,165,143,0.0613671875,0.058515625,0.06421875,0,143,0.35203125,0.36375,0.3403125,0,143,0.4580859375,0.4528125,0.463359375,0,143,0.1887890625,0.205390625,0.1721875,0,143,0.1979296875,0.216796875,0.1790625,0,143,0.20109375,0.218125,0.1840625,0,142
14,0.4598207473754883,0.1994921875,0.2015,0.197484375,0.4697629511356354,0.20813058035714285,True,0.0007421875,0.001015625,0.00046875,181,143,0.060390625,0.05796875,0.0628125,0,143,0.3522265625,0.3640625,0.340390625,0,143,0.4583984375,0.453515625,0.46328125,0,143,0.187734375,0.20359375,0.171875,0,143,0.1969140625,0.214921875,0.17890625,0,143,0.2005078125,0.2165625,0.184453125,0,142
15,0.4586787223815918,0.1993671875,0.201359375,0.197375,0.4689190983772278,0.2079185267857143,True,0.0006640625,0.0009375,0.000390625,183,143,0.0598046875,0.0575,0.062109375,0,143,0.3519921875,0.364296875,0.3396875,0,143,0.4581640625,0.45328125,0.463046875,0,143,0.1875390625,0.2034375,0.171640625,0,143,0.196953125,0.214765625,0.179140625,0,143,0.2003125,0.216328125,0.184296875,0,142
16,0.45791760087013245,0.199125,0.20096875,0.19728125,0.4682296812534332,0.20756138392857143,True,0.0005859375,0.0009375,0.000234375,185,143,0.059453125,0.057109375,0.061796875,0,143,0.3517578125,0.364375,0.339140625,0,143,0.4584375,0.45359375,0.46328125,0,143,0.1866796875,0.2021875,0.171171875,0,143,0.196328125,0.213671875,0.178984375,0,143,0.1996875,0.21546875,0.18390625,0,142
17,0.4573642313480377,0.1988125,0.20090625,0.19671875,0.4678065776824951,0.20720982142857144,True,0.0005859375,0.0009375,0.000234375,185,143,0.05890625,0.056484375,0.061328125,0,143,0.3516796875,0.364140625,0.33921875,0,143,0.458359375,0.453359375,0.463359375,0,143,0.18609375,0.201640625,0.170546875,0,143,0.1957421875,0.213203125,0.17828125,0,143,0.1991015625,0.215,0.183203125,0,142
18,0.4569774866104126,0.198640625,0.20059375,0.1966875,0.4675171673297882,0.20709263392857144,True,0.000625,0.0009375,0.0003125,184,143,0.0588671875,0.05625,0.061484375,0,143,0.351484375,0.36359375,0.339375,0,143,0.458125,0.453203125,0.463046875,0,143,0.1859375,0.20140625,0.17046875,0,143,0.195625,0.213203125,0.178046875,0,143,0.198984375,0.214921875,0.183046875,0,142
19,0.4566672146320343,0.1985234375,0.2004375,0.196609375,0.46722516417503357,0.20704241071428572,True,0.000625,0.0009375,0.0003125,184,143,0.0587109375,0.056015625,0.06140625,0,143,0.3517578125,0.363984375,0.33953125,0,143,0.458203125,0.45328125,0.463125,0,143,0.1858984375,0.201484375,0.1703125,0,143,0.19546875,0.213125,0.1778125,0,143,0.1986328125,0.214609375,0.18265625,0,142
20,0.45638397336006165,0.1985234375,0.200390625,0.19665625,0.4669482409954071,0.20686941964285713,True,0.000625,0.0009375,0.0003125,184,143,0.058515625,0.055859375,0.061171875,1,143,0.35171875,0.36390625,0.33953125,0,143,0.45828125,0.4534375,0.463125,0,143,0.185390625,0.200859375,0.169921875,0,143,0.195234375,0.213046875,0.177421875,0,143,0.1983203125,0.214375,0.182265625,0,142
21,0.45613256096839905,0.198171875,0.200125,0.19621875,0.466708242893219,0.2067131696428572,True,0.000703125,0.000859375,0.000546875,183,143,0.058515625,0.055859375,0.061171875,1,143,0.3512890625,0.363515625,0.3390625,0,143,0.458125,0.453359375,0.462890625,0,143,0.1852734375,0.201015625,0.16953125,0,143,0.1949609375,0.212890625,0.17703125,0,143,0.198125,0.214375,0.181875,0,142
22,0.45592352747917175,0.198109375,0.200140625,0.196078125,0.466497004032135,0.20671316964285716,True,0.000703125,0.000859375,0.000546875,183,143,0.0583984375,0.055625,0.061171875,1,143,0.35125,0.3634375,0.3390625,0,143,0.458046875,0.453125,0.46296875,0,143,0.1854296875,0.20109375,0.169765625,0,143,0.195,0.212734375,0.177265625,0,143,0.1981640625,0.21421875,0.182109375,0,142
23,0.455730140209198,0.1979921875,0.199859375,0.196125,0.46630680561065674,0.20657366071428568,True,0.000703125,0.000859375,0.000546875,183,143,0.058046875,0.055,0.06109375,1,143,0.3512890625,0.3634375,0.339140625,0,143,0.458125,0.4534375,0.4628125,0,143,0.1853515625,0.201171875,0.16953125,0,143,0.194609375,0.212578125,0.176640625,0,143,0.197890625,0.214140625,0.181640625,0,142
24,0.45555588603019714,0.1979375,0.199859375,0.196015625,0.4661131799221039,0.20658482142857143,False,0.000703125,0.000859375,0.000546875,183,143,0.058046875,0.055,0.06109375,1,143,0.351328125,0.3634375,0.33921875,0,143,0.4582421875,0.4534375,0.463046875,0,143,0.1853515625,0.201171875,0.16953125,0,143,0.194609375,0.212578125,0.176640625,0,143,0.1978125,0.214140625,0.181484375,0,142
25,0.45539039373397827,0.1979375,0.19975,0.196125,0.4659152328968048,0.20666294642857144,False,0.000625,0.000703125,0.000546875,185,143,0.05796875,0.054765625,0.061171875,1,143,0.3512109375,0.363359375,0.3390625,0,143,0.45859375,0.45390625,0.46328125,0,143,0.1855078125,0.201328125,0.1696875,0,143,0.1945703125,0.21234375,0.176796875,0,143,0.1981640625,0.2146875,0.181640625,0,142
26,0.4552381634712219,0.19796875,0.19975,0.1961875,0.46575868129730225,0.2066685267857143,False,0.000625,0.000703125,0.000546875,185,143,0.0583203125,0.055390625,0.06125,1,143,0.3513671875,0.363671875,0.3390625,0,143,0.458125,0.45296875,0.46328125,0,143,0.1856640625,0.201640625,0.1696875,0,143,0.19453125,0.2121875,0.176875,0,143,0.198046875,0.214453125,0.181640625,0,142
27,0.4550875723361969,0.1976875,0.19953125,0.19584375,0.46559491753578186,0.20664062500000005,False,0.000625,0.000703125,0.000546875,185,143,0.058125,0.055,0.06125,1,143,0.3515234375,0.36359375,0.339453125,0,143,0.458046875,0.452890625,0.463203125,0,143,0.1856640625,0.201875,0.169453125,0,143,0.194375,0.211953125,0.176796875,0,143,0.198125,0.214375,0.181875,0,142
28,0.4549453556537628,0.1977265625,0.199671875,0.19578125,0.46543771028518677,0.2065736607142857,True,0.000625,0.000703125,0.000546875,185,143,0.0579296875,0.05484375,0.061015625,1,143,0.3518359375,0.36421875,0.339453125,0,143,0.4578515625,0.452734375,0.46296875,0,143,0.1855859375,0.20203125,0.169140625,0,143,0.19421875,0.211796875,0.176640625,0,143,0.19796875,0.213984375,0.181953125,0,142
29,0.4548037648200989,0.19753125,0.199453125,0.195609375,0.46529659628868103,0.20635602678571427,True,0.00046875,0.000390625,0.000546875,188,143,0.057734375,0.05453125,0.0609375,1,143,0.3515625,0.364140625,0.338984375,0,143,0.4577734375,0.45265625,0.462890625,0,143,0.1852734375,0.20171875,0.168828125,0,143,0.1941015625,0.211484375,0.17671875,0,143,0.197578125,0.21375,0.18140625,0,142
