split,condition,count,fraction
training,clean,1000,0.14285714285714285
training,jpeg90,1000,0.14285714285714285
training,jpeg70,1000,0.14285714285714285
training,jpeg50,1000,0.14285714285714285
training,reencode1,1000,0.14285714285714285
training,reencode2,1000,0.14285714285714285
training,reencode3,1000,0.14285714285714285
validation,clean,200,0.14285714285714285
validation,jpeg90,200,0.14285714285714285
validation,jpeg70,200,0.14285714285714285
validation,jpeg50,200,0.14285714285714285
validation,reencode1,200,0.14285714285714285
validation,reencode2,200,0.14285714285714285
validation,reencode3,200,0.14285714285714285
