epoch,train_bce,train_ber,train_lh2_ber,train_hl2_ber,validation_bce,validation_macro_ber,is_best_checkpoint,train_clean_ber,train_clean_lh2_ber,train_clean_hl2_ber,train_clean_perfect_payloads,validation_clean_ber,validation_clean_lh2_ber,validation_clean_hl2_ber,validation_clean_perfect_payloads,train_jpeg90_ber,train_jpeg90_lh2_ber,train_jpeg90_hl2_ber,train_jpeg90_perfect_payloads,validation_jpeg90_ber,validation_jpeg90_lh2_ber,validation_jpeg90_hl2_ber,validation_jpeg90_perfect_payloads,train_jpeg70_ber,train_jpeg70_lh2_ber,train_jpeg70_hl2_ber,train_jpeg70_perfect_payloads,validation_jpeg70_ber,validation_jpeg70_lh2_ber,validation_jpeg70_hl2_ber,validation_jpeg70_perfect_payloads,train_jpeg50_ber,train_jpeg50_lh2_ber,train_jpeg50_hl2_ber,train_jpeg50_perfect_payloads,validation_jpeg50_ber,validation_jpeg50_lh2_ber,validation_jpeg50_hl2_ber,validation_jpeg50_perfect_payloads,train_reencode1_ber,train_reencode1_lh2_ber,train_reencode1_hl2_ber,train_reencode1_perfect_payloads,validation_reencode1_ber,validation_reencode1_lh2_ber,validation_reencode1_hl2_ber,validation_reencode1_perfect_payloads,train_reencode2_ber,train_reencode2_lh2_ber,train_reencode2_hl2_ber,train_reencode2_perfect_payloads,validation_reencode2_ber,validation_reencode2_lh2_ber,validation_reencode2_hl2_ber,validation_reencode2_perfect_payloads,train_reencode3_ber,train_reencode3_lh2_ber,train_reencode3_hl2_ber,train_reencode3_perfect_payloads,validation_reencode3_ber,validation_reencode3_lh2_ber,validation_reencode3_hl2_ber,validation_reencode3_perfect_payloads
1,0.6261979341506958,0.26175223214285714,0.2507366071428571,0.2727678571428571,0.5321625471115112,0.2708147321428572,True,0.0953125,0.09003125,0.10059375,1,0.0745703125,0.070703125,0.0784375,1,0.179671875,0.14053125,0.2188125,0,0.1808984375,0.11703125,0.244765625,0,0.3706484375,0.365765625,0.37553125,0,0.3851171875,0.383203125,0.38703125,0,0.454421875,0.456921875,0.451921875,0,0.4598046875,0.461875,0.457734375,0,0.2388046875,0.22796875,0.249640625,0,0.2609375,0.24953125,0.27234375,0,0.2456640625,0.235828125,0.2555,0,0.26578125,0.255546875,0.276015625,0,0.2477421875,0.238109375,0.257375,0,0.26859375,0.258359375,0.278828125,0
2,0.47991469502449036,0.20045424107142856,0.19737723214285716,0.20353125,0.473065048456192,0.21354352678571434,True,0.0006953125,0.000640625,0.00075,921,0.0009375,0.001015625,0.000859375,181,0.085421875,0.0628125,0.10803125,7,0.08890625,0.05546875,0.12234375,0,0.34665625,0.341390625,0.351921875,0,0.36734375,0.3640625,0.370625,0,0.450421875,0.45234375,0.4485,0,0.4575,0.453125,0.461875,0,0.1634140625,0.165078125,0.16175,0,0.1856640625,0.20375,0.167578125,0,0.176265625,0.177796875,0.174734375,0,0.19578125,0.215546875,0.176015625,0,0.1803046875,0.181578125,0.17903125,0,0.198671875,0.216875,0.18046875,0
3,0.45482879877090454,0.1983046875,0.19514732142857144,0.20146205357142857,0.4690259099006653,0.21220982142857142,True,0.0004765625,0.000421875,0.00053125,943,0.0003515625,0.000546875,0.00015625,191,0.0814453125,0.058859375,0.10403125,7,0.086796875,0.054609375,0.118984375,2,0.34590625,0.339796875,0.352015625,0,0.3662890625,0.363046875,0.36953125,0,0.4495859375,0.4513125,0.447859375,0,0.457421875,0.45296875,0.461875,0,0.1599296875,0.16175,0.158109375,0,0.1834375,0.201171875,0.165703125,0,0.173359375,0.1749375,0.17178125,0,0.1944140625,0.2128125,0.176015625,0,0.1774296875,0.178953125,0.17590625,0,0.1967578125,0.2140625,0.179453125,0
4,0.45228129625320435,0.19785714285714287,0.19471875,0.20099553571428572,0.4675736725330353,0.21191964285714285,True,0.000421875,0.000421875,0.000421875,947,0.000390625,0.000390625,0.000390625,190,0.0809375,0.058265625,0.103609375,7,0.08640625,0.054140625,0.118671875,2,0.3454375,0.33928125,0.35159375,0,0.36625,0.363203125,0.369296875,0,0.449484375,0.4514375,0.44753125,0,0.45796875,0.453671875,0.462265625,0,0.1590859375,0.1609375,0.157234375,0,0.1826171875,0.20046875,0.164765625,0,0.1728359375,0.174546875,0.171125,0,0.193671875,0.211484375,0.175859375,0,0.176796875,0.178140625,0.175453125,0,0.1961328125,0.21359375,0.178671875,0
5,0.4512915313243866,0.19770089285714285,0.19456473214285713,0.20083705357142856,0.4667627513408661,0.2116908482142857,True,0.000375,0.000375,0.000375,953,0.000390625,0.000390625,0.000390625,190,0.0804609375,0.057640625,0.10328125,6,0.08578125,0.053984375,0.117578125,2,0.345734375,0.3394375,0.35203125,0,0.366328125,0.36296875,0.3696875,0,0.4495625,0.451578125,0.447546875,0,0.4577734375,0.45359375,0.461953125,0,0.158859375,0.16059375,0.157125,0,0.182109375,0.19953125,0.1646875,0,0.172421875,0.17425,0.17059375,0,0.193671875,0.21125,0.17609375,0,0.1764921875,0.178078125,0.17490625,0,0.19578125,0.2128125,0.17875,0
6,0.45067456364631653,0.1945111607142857,0.19445089285714287,0.19457142857142856,0.4660402238368988,0.2058482142857143,True,0.0004609375,0.000390625,0.00053125,942,0.0004296875,0.000390625,0.00046875,189,0.066828125,0.057609375,0.076046875,5,0.0559765625,0.05390625,0.058046875,2,0.3327890625,0.339390625,0.3261875,0,0.35109375,0.36296875,0.33921875,0,0.4497578125,0.451265625,0.44825,0,0.4583203125,0.45296875,0.463671875,0,0.1603046875,0.1604375,0.160171875,0,0.1835546875,0.199375,0.167734375,0,0.173703125,0.17415625,0.17325,0,0.1945703125,0.2109375,0.178203125,0,0.177734375,0.17790625,0.1775625,0,0.1969921875,0.212265625,0.18171875,0
7,0.4502650201320648,0.19476339285714286,0.19489285714285715,0.19463392857142858,0.46575111150741577,0.20585937499999998,False,0.0004609375,0.000421875,0.0005,942,0.0004296875,0.000390625,0.00046875,189,0.0666484375,0.057625,0.075671875,5,0.055625,0.053046875,0.058203125,2,0.3331796875,0.340015625,0.32634375,0,0.3512109375,0.3628125,0.339609375,0,0.4501015625,0.4515625,0.448640625,0,0.459140625,0.453984375,0.464296875,0,0.1607578125,0.1610625,0.160453125,0,0.1834765625,0.19921875,0.167734375,0,0.17415625,0.17490625,0.17340625,0,0.1942578125,0.211171875,0.17734375,0,0.1780390625,0.17865625,0.177421875,0,0.196875,0.21265625,0.18109375,0
8,0.44999051094055176,0.19468638392857143,0.19476785714285713,0.1946049107142857,0.4655200242996216,0.20588169642857143,False,0.00046875,0.000421875,0.000515625,941,0.0004296875,0.000390625,0.00046875,189,0.0664453125,0.057453125,0.0754375,7,0.0560546875,0.052734375,0.059375,1,0.332609375,0.340234375,0.324984375,0,0.3510546875,0.362890625,0.33921875,0,0.4501640625,0.4513125,0.449015625,0,0.45953125,0.453515625,0.465546875,0,0.1609609375,0.161,0.160921875,0,0.183046875,0.198984375,0.167109375,0,0.17409375,0.174625,0.1735625,0,0.1941015625,0.211328125,0.176875,0,0.1780625,0.178328125,0.177796875,0,0.196953125,0.212734375,0.181171875,0
9,0.44977232813835144,0.19343080357142858,0.192390625,0.19447098214285713,0.4653259217739105,0.20488281249999998,True,0.00040625,0.00028125,0.00053125,948,0.000390625,0.0003125,0.00046875,190,0.0649453125,0.05471875,0.075171875,7,0.0555859375,0.051796875,0.059375,1,0.3318203125,0.338796875,0.32484375,0,0.3496875,0.360078125,0.339296875,0,0.4498046875,0.45059375,0.449015625,0,0.46,0.45453125,0.46546875,0,0.159015625,0.157328125,0.160703125,0,0.1812890625,0.195390625,0.1671875,0,0.1719765625,0.170609375,0.17334375,0,0.192109375,0.207265625,0.176953125,0,0.176046875,0.17440625,0.1776875,0,0.1951171875,0.208828125,0.18140625,0
10,0.4495921730995178,0.1934575892857143,0.192390625,0.19452455357142856,0.4652005732059479,0.20484375000000002,True,0.000390625,0.00028125,0.0005,950,0.000390625,0.0003125,0.00046875,190,0.064953125,0.054703125,0.075203125,7,0.0555078125,0.051640625,0.059375,1,0.331859375,0.338828125,0.324890625,0,0.3496875,0.360078125,0.339296875,0,0.4498203125,0.45059375,0.449046875,0,0.4601171875,0.4546875,0.465546875,0,0.1590546875,0.1573125,0.160796875,0,0.181171875,0.195390625,0.166953125,0,0.1720078125,0.17059375,0.173421875,0,0.1918359375,0.2071875,0.176484375,0,0.1761171875,0.174421875,0.1778125,0,0.1951953125,0.208828125,0.1815625,0
