condition,subband,representation_scope,phase_round_decimals,rounding_half_width,training_bins,only_bit_0_bins,only_bit_1_bins,both_bits_bins,both_bits_bin_proportion,validation_samples_in_ambiguous_bins,validation_ambiguous_bin_proportion
clean,LH2,phase_only,2,0.005,65,29,30,6,0.09230769230769231,1558,0.12171875
clean,LH2,phase_only,3,0.0005,65,29,30,6,0.09230769230769231,1558,0.12171875
clean,LH2,phase_only,4,5e-05,65,29,30,6,0.09230769230769231,1558,0.12171875
clean,LH2,phase_only,6,5e-07,65,29,30,6,0.09230769230769231,1558,0.12171875
clean,LH2,current_4_features,2,0.005,1296,642,654,0,0.0,0,0.0
clean,LH2,current_4_features,3,0.0005,1296,642,654,0,0.0,0,0.0
clean,LH2,current_4_features,4,5e-05,1296,642,654,0,0.0,0,0.0
clean,LH2,current_4_features,6,5e-07,1296,642,654,0,0.0,0,0.0
clean,HL2,phase_only,2,0.005,65,28,30,7,0.1076923076923077,1788,0.1396875
clean,HL2,phase_only,3,0.0005,65,28,30,7,0.1076923076923077,1788,0.1396875
clean,HL2,phase_only,4,5e-05,65,28,30,7,0.1076923076923077,1788,0.1396875
clean,HL2,phase_only,6,5e-07,65,28,30,7,0.1076923076923077,1788,0.1396875
clean,HL2,current_4_features,2,0.005,1387,680,706,1,0.0007209805335255948,0,0.0
clean,HL2,current_4_features,3,0.0005,1387,680,706,1,0.0007209805335255948,0,0.0
clean,HL2,current_4_features,4,5e-05,1387,680,706,1,0.0007209805335255948,0,0.0
clean,HL2,current_4_features,6,5e-07,1387,680,706,1,0.0007209805335255948,0,0.0
jpeg90,LH2,phase_only,2,0.005,65,0,0,65,1.0,12800,1.0
jpeg90,LH2,phase_only,3,0.0005,65,0,0,65,1.0,12800,1.0
jpeg90,LH2,phase_only,4,5e-05,65,0,0,65,1.0,12800,1.0
jpeg90,LH2,phase_only,6,5e-07,65,0,0,65,1.0,12800,1.0
jpeg90,LH2,current_4_features,2,0.005,1813,618,651,544,0.30005515719801434,10346,0.80828125
jpeg90,LH2,current_4_features,3,0.0005,1813,618,651,544,0.30005515719801434,10346,0.80828125
jpeg90,LH2,current_4_features,4,5e-05,1813,618,651,544,0.30005515719801434,10346,0.80828125
jpeg90,LH2,current_4_features,6,5e-07,1813,618,651,544,0.30005515719801434,10346,0.80828125
jpeg90,HL2,phase_only,2,0.005,65,0,0,65,1.0,12800,1.0
jpeg90,HL2,phase_only,3,0.0005,65,0,0,65,1.0,12800,1.0
jpeg90,HL2,phase_only,4,5e-05,65,0,0,65,1.0,12800,1.0
jpeg90,HL2,phase_only,6,5e-07,65,0,0,65,1.0,12800,1.0
jpeg90,HL2,current_4_features,2,0.005,1943,633,661,649,0.3340195573854864,10520,0.821875
jpeg90,HL2,current_4_features,3,0.0005,1943,633,661,649,0.3340195573854864,10520,0.821875
jpeg90,HL2,current_4_features,4,5e-05,1943,633,661,649,0.3340195573854864,10520,0.821875
jpeg90,HL2,current_4_features,6,5e-07,1943,633,661,649,0.3340195573854864,10520,0.821875
jpeg70,LH2,phase_only,2,0.005,65,0,0,65,1.0,12800,1.0
jpeg70,LH2,phase_only,3,0.0005,65,0,0,65,1.0,12800,1.0
jpeg70,LH2,phase_only,4,5e-05,65,0,0,65,1.0,12800,1.0
jpeg70,LH2,phase_only,6,5e-07,65,0,0,65,1.0,12800,1.0
jpeg70,LH2,current_4_features,2,0.005,1799,343,350,1106,0.6147859922178989,12461,0.973515625
jpeg70,LH2,current_4_features,3,0.0005,1799,343,350,1106,0.6147859922178989,12461,0.973515625
jpeg70,LH2,current_4_features,4,5e-05,1799,343,350,1106,0.6147859922178989,12461,0.973515625
jpeg70,LH2,current_4_features,6,5e-07,1799,343,350,1106,0.6147859922178989,12461,0.973515625
jpeg70,HL2,phase_only,2,0.005,65,0,0,65,1.0,12800,1.0
jpeg70,HL2,phase_only,3,0.0005,65,0,0,65,1.0,12800,1.0
jpeg70,HL2,phase_only,4,5e-05,65,0,0,65,1.0,12800,1.0
jpeg70,HL2,phase_only,6,5e-07,65,0,0,65,1.0,12800,1.0
