condition,subband,target_bit,count,median_absolute_coefficient_displacement,p90_absolute_coefficient_displacement,fraction_displacement_gt_delta_over_4,fraction_displacement_gt_delta_over_2,median_circular_phase_displacement,p90_circular_phase_displacement,classical_decision_changed_from_clean,attacked_classical_error_rate
clean,LH2,0,6302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015867978419549348
clean,LH2,1,6498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23499538319482918
clean,LH2,all,12800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119375
clean,HL2,0,6339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,HL2,1,6461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2699272558427488
clean,HL2,all,12800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13625
clean,combined,0,12641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.910766553279013e-05
clean,combined,1,12959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2524114515008874
clean,combined,all,25600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1278125
jpeg90,LH2,0,6302,0.4999999999999942,2.2500000000000213,0.01824817518248175,0.000952078705172961,0.03125,0.140625,0.02951443986036179,0.029673119644557284
jpeg90,LH2,1,6498,1.0000000000000129,2.7499999999999822,0.02016004924592182,0.0006155740227762388,0.0625,0.171875,0.055863342566943676,0.28593413357956293
jpeg90,LH2,all,12800,0.9999999999999671,2.5000000000000204,0.01921875,0.00078125,0.0625,0.15625,0.042890625,0.159765625
jpeg90,HL2,0,6339,0.49999999999994316,2.499999999999943,0.01893043066729768,0.00015775358889414735,0.03125,0.15625,0.03391702161224168,0.03391702161224168
jpeg90,HL2,1,6461,1.5,2.5000000000002274,0.0191920755301037,0.000773874013310633,0.09375,0.15625,0.06268379507816127,0.33013465407831605
jpeg90,HL2,all,12800,1.2499999999999858,2.5,0.0190625,0.00046875,0.078125,0.15625,0.0484375,0.1834375
jpeg90,combined,0,12641,0.4999999999999838,2.2500000000000586,0.01859030140020568,0.0005537536587295309,0.03125,0.140625,0.03172217387864884,0.03180128154418163
jpeg90,combined,1,12959,1.2500000000000568,2.7499999999999423,0.0196774442472413,0.0006944980322555753,0.078125,0.171875,0.05926383208580909,0.30797129408133345
jpeg90,combined,all,25600,1.000000000000008,2.5000000000000195,0.019140625,0.000625,0.0625,0.15625,0.0456640625,0.1716015625
jpeg70,LH2,0,6302,0.7500000000000464,5.000000000000001,0.14836559822278642,0.027134243097429386,0.046875,0.296875,0.1486829577911774,0.1488416375753729
jpeg70,LH2,1,6498,3.999999999999952,7.999999999999985,0.34318251769775315,0.07479224376731301,0.25,0.484375,0.34702985534010466,0.5740227762388427
jpeg70,LH2,all,12800,2.499999999999975,6.999999999999976,0.247265625,0.051328125,0.15625,0.390625,0.249375,0.3646875
jpeg70,HL2,0,6339,0.75,5.250000000000057,0.16106641426092444,0.038018614923489506,0.046875,0.3125,0.1585423568386181,0.1585423568386181
jpeg70,HL2,1,6461,3.999999999999943,6.249999999999943,0.36232781303203837,0.039777124284166535,0.25,0.375,0.36511375947995667,0.6260640767683021
jpeg70,HL2,all,12800,2.749999999999801,6.0,0.26265625,0.03890625,0.15625,0.375,0.2628125,0.39453125
jpeg70,combined,0,12641,0.7500000000000062,5.249999999999963,0.1547345937821375,0.032592358199509536,0.046875,0.3125,0.15362708646467843,0.15370619413021122
jpeg70,combined,1,12959,3.999999999999943,7.25,0.3527278339378038,0.05733467088509916,0.25,0.40625,0.35604599120302494,0.5999691334207886
jpeg70,combined,all,25600,2.5,6.250000000000025,0.2549609375,0.0451171875,0.15625,0.375,0.25609375,0.379609375
jpeg50,LH2,0,6302,1.0,7.249999999999985,0.23405268168835291,0.07870517296096477,0.0625,0.375,0.21405902887972073,0.21390034909552522
