condition,subband,stage2b_cnn_ber,classical_ber,empirical_lookup_ber,knn_ber,phase_histogram_overlap,validation_ambiguous_bin_proportion_4_features_rounded_2dp,classical_decision_changed_from_clean
clean,LH2,0.0003125,0.119375,0.000859375,0.00015625,0.0003123380897046493,0.0,0.0
clean,HL2,0.00046875,0.13625,0.000703125,0.0,0.0005004750733704896,0.0,0.0
clean,combined,0.000390625,0.1278125,0.0005859375,7.8125e-05,0.0004063946930442571,0.0,0.0
jpeg90,LH2,0.051640625,0.159765625,0.052578125,0.051484375,0.11403441076836171,0.80828125,0.042890625
jpeg90,HL2,0.05890625,0.1834375,0.0565625,0.062265625,0.15720218358936708,0.821875,0.0484375
jpeg90,combined,0.0552734375,0.1716015625,0.055234375,0.0559375,0.15371764322394604,0.815078125,0.0456640625
jpeg70,LH2,0.3603125,0.3646875,0.36265625,0.36140625,0.6722258312748686,0.973515625,0.249375
jpeg70,HL2,0.339609375,0.39453125,0.3421875,0.342265625,0.647990760460184,0.974296875,0.2628125
jpeg70,combined,0.3499609375,0.379609375,0.3530859375,0.364765625,0.6673792260389605,0.97390625,0.25609375
jpeg50,LH2,0.45390625,0.45765625,0.459296875,0.465234375,0.8953546929909315,0.97515625,0.34328125
jpeg50,HL2,0.464921875,0.46015625,0.4553125,0.466953125,0.8897649400052013,0.975703125,0.32765625
jpeg50,combined,0.4594140625,0.45890625,0.4569140625,0.461015625,0.8936814022736257,0.9754296874999999,0.33546875
reencode1,LH2,0.195234375,0.1946875,0.096953125,0.09734375,0.21801002956911,0.924453125,0.076875
reencode1,HL2,0.166015625,0.22640625,0.108984375,0.110234375,0.28204083980510325,0.954375,0.09234375
reencode1,combined,0.180625,0.210546875,0.101953125,0.104140625,0.2822509625150188,0.9394140625,0.084609375
reencode3,LH2,0.20828125,0.20640625,0.109453125,0.1096875,0.2536273999950531,0.9578125,0.0909375
reencode3,HL2,0.180234375,0.23890625,0.123359375,0.124921875,0.31312381274384193,0.965390625,0.105
reencode3,combined,0.1942578125,0.22265625,0.1155859375,0.1169140625,0.3147082842582488,0.9616015625,0.09796875
