condition,subband,phase_bins,raw_quantile_bins,validation_rows,validation_ber
clean,LH2,64,32,12800,0.000859375
clean,HL2,64,32,12800,0.000703125
clean,combined,64,32,25600,0.0005859375
jpeg90,LH2,64,32,12800,0.052578125
jpeg90,HL2,64,32,12800,0.0565625
jpeg90,combined,64,32,25600,0.055234375
jpeg70,LH2,64,32,12800,0.36265625
jpeg70,HL2,64,32,12800,0.3421875
jpeg70,combined,64,32,25600,0.3530859375
jpeg50,LH2,64,32,12800,0.459296875
jpeg50,HL2,64,32,12800,0.4553125
jpeg50,combined,64,32,25600,0.4569140625
reencode1,LH2,64,32,12800,0.096953125
reencode1,HL2,64,32,12800,0.108984375
reencode1,combined,64,32,25600,0.101953125
reencode3,LH2,64,32,12800,0.109453125
reencode3,HL2,64,32,12800,0.123359375
reencode3,combined,64,32,25600,0.1155859375
