condition,subband,classifier,k,training_rows,validation_rows,validation_ber
clean,LH2,standardized_k_nearest_neighbors,31,64000,12800,0.00015625
clean,HL2,standardized_k_nearest_neighbors,31,64000,12800,0.0
clean,combined,standardized_k_nearest_neighbors,31,128000,25600,7.8125e-05
jpeg90,LH2,standardized_k_nearest_neighbors,31,64000,12800,0.051484375
jpeg90,HL2,standardized_k_nearest_neighbors,31,64000,12800,0.062265625
jpeg90,combined,standardized_k_nearest_neighbors,31,128000,25600,0.0559375
jpeg70,LH2,standardized_k_nearest_neighbors,31,64000,12800,0.36140625
jpeg70,HL2,standardized_k_nearest_neighbors,31,64000,12800,0.342265625
jpeg70,combined,standardized_k_nearest_neighbors,31,128000,25600,0.364765625
jpeg50,LH2,standardized_k_nearest_neighbors,31,64000,12800,0.465234375
jpeg50,HL2,standardized_k_nearest_neighbors,31,64000,12800,0.466953125
jpeg50,combined,standardized_k_nearest_neighbors,31,128000,25600,0.461015625
reencode1,LH2,standardized_k_nearest_neighbors,31,64000,12800,0.09734375
reencode1,HL2,standardized_k_nearest_neighbors,31,64000,12800,0.110234375
reencode1,combined,standardized_k_nearest_neighbors,31,128000,25600,0.104140625
reencode3,LH2,standardized_k_nearest_neighbors,31,64000,12800,0.1096875
reencode3,HL2,standardized_k_nearest_neighbors,31,64000,12800,0.124921875
reencode3,combined,standardized_k_nearest_neighbors,31,128000,25600,0.1169140625
