condition,subband,analysis_input,bins_per_phase_axis,validation_ber,deployable_blind_extractor
clean,LH2,attacked_phase_only,32,7.8125e-05,True
clean,LH2,attacked_plus_clean_watermarked_phase,32,7.8125e-05,False
clean,HL2,attacked_phase_only,32,0.0,True
clean,HL2,attacked_plus_clean_watermarked_phase,32,0.0,False
clean,combined,attacked_phase_only,32,3.90625e-05,True
clean,combined,attacked_plus_clean_watermarked_phase,32,3.90625e-05,False
jpeg90,LH2,attacked_phase_only,32,0.056875,True
jpeg90,LH2,attacked_plus_clean_watermarked_phase,32,0.001328125,False
jpeg90,HL2,attacked_phase_only,32,0.0746875,True
jpeg90,HL2,attacked_plus_clean_watermarked_phase,32,0.002109375,False
jpeg90,combined,attacked_phase_only,32,0.06578125,True
jpeg90,combined,attacked_plus_clean_watermarked_phase,32,0.0020703125,False
jpeg70,LH2,attacked_phase_only,32,0.357421875,True
jpeg70,LH2,attacked_plus_clean_watermarked_phase,32,0.00125,False
jpeg70,HL2,attacked_phase_only,32,0.3415625,True
jpeg70,HL2,attacked_plus_clean_watermarked_phase,32,0.0015625,False
jpeg70,combined,attacked_phase_only,32,0.3494921875,True
jpeg70,combined,attacked_plus_clean_watermarked_phase,32,0.0015625,False
jpeg50,LH2,attacked_phase_only,32,0.454921875,True
jpeg50,LH2,attacked_plus_clean_watermarked_phase,32,0.0009375,False
jpeg50,HL2,attacked_phase_only,32,0.460390625,True
jpeg50,HL2,attacked_plus_clean_watermarked_phase,32,0.00171875,False
jpeg50,combined,attacked_phase_only,32,0.45765625,True
jpeg50,combined,attacked_plus_clean_watermarked_phase,32,0.00125,False
reencode1,LH2,attacked_phase_only,32,0.108984375,True
reencode1,LH2,attacked_plus_clean_watermarked_phase,32,0.00171875,False
reencode1,HL2,attacked_phase_only,32,0.1315625,True
reencode1,HL2,attacked_plus_clean_watermarked_phase,32,0.00140625,False
reencode1,combined,attacked_phase_only,32,0.1202734375,True
reencode1,combined,attacked_plus_clean_watermarked_phase,32,0.00125,False
reencode3,LH2,attacked_phase_only,32,0.121796875,True
reencode3,LH2,attacked_plus_clean_watermarked_phase,32,0.001875,False
reencode3,HL2,attacked_phase_only,32,0.143359375,True
reencode3,HL2,attacked_plus_clean_watermarked_phase,32,0.001640625,False
reencode3,combined,attacked_phase_only,32,0.132578125,True
reencode3,combined,attacked_plus_clean_watermarked_phase,32,0.0015625,False
