condition,subband,phase_bins,target_0_count,target_1_count,histogram_overlap_coefficient,total_variation_distance,bhattacharyya_coefficient,jensen_shannon_divergence_bits
clean,LH2,64,32084,31916,0.0003123380897046493,0.9996876619102953,0.0035340371165024876,0.9991625946318139
clean,HL2,64,31770,32230,0.0005004750733704896,0.9994995249266295,0.006851800020971705,0.9981797719917682
clean,combined,64,63854,64146,0.0004063946930442571,0.9995936053069557,0.005614320443418512,0.9985663864277761
jpeg90,LH2,64,32084,31916,0.11403441076836171,0.8859655892316383,0.3417006438538722,0.7651485920649663
jpeg90,HL2,64,31770,32230,0.15720218358936708,0.842797816410633,0.40467824483696946,0.7015052296357891
jpeg90,combined,64,63854,64146,0.15371764322394604,0.8462823567760539,0.3882985013590221,0.7155853101256443
jpeg70,LH2,64,32084,31916,0.6722258312748686,0.3277741687251313,0.9222418099490649,0.10917422011255115
jpeg70,HL2,64,31770,32230,0.647990760460184,0.35200923953981605,0.9227128032743726,0.1092084904198799
jpeg70,combined,64,63854,64146,0.6673792260389605,0.3326207739610395,0.9289749008089327,0.10035537263062377
jpeg50,LH2,64,32084,31916,0.8953546929909315,0.1046453070090686,0.9914790311055337,0.012248204967784669
jpeg50,HL2,64,31770,32230,0.8897649400052013,0.11023505999479857,0.9894944057116718,0.015037972742958334
jpeg50,combined,64,63854,64146,0.8936814022736257,0.10631859772637431,0.9909433973223376,0.013005064998365113
reencode1,LH2,64,32084,31916,0.21801002956911,0.7819899704308899,0.5161808680459279,0.5945187475944291
reencode1,HL2,64,31770,32230,0.28204083980510325,0.7179591601948967,0.5898396422250254,0.512747116761515
reencode1,combined,64,63854,64146,0.2822509625150188,0.7177490374849813,0.5712731248685384,0.5307366365436312
reencode3,LH2,64,32084,31916,0.2536273999950531,0.7463726000049469,0.5787257427293159,0.5321757946012529
reencode3,HL2,64,31770,32230,0.31312381274384193,0.6868761872561582,0.6388389630081022,0.462010706050296
reencode3,combined,64,63854,64146,0.3147082842582488,0.6852917157417511,0.6262465656316458,0.47463285949732054
