condition,subband,target_bit,variable,count,mean,std,minimum,q1,median,q3,maximum
clean,LH2,0,coefficient_over_delta,32084,-0.008009249344468117,2.6557183265686035,-31.875,-0.0625,0.0,0.0625,26.984375
clean,LH2,0,sin_pi_c_over_delta,32084,0.001977371284738183,0.1722382754087448,-0.7409511208534241,-0.0980171412229538,0.0,0.0980171412229538,0.7071067690849304
clean,LH2,0,cos_pi_c_over_delta,32084,0.5719581246376038,0.801993727684021,-1.0,0.9415440559387207,0.9891765117645264,1.0,1.0
clean,LH2,0,qim_phase_mod_1,32084,0.3402017056941986,0.4336593449115753,0.0,0.0,0.0625,0.921875,1.0
clean,LH2,0,classical_decision_margin_over_delta,32084,0.42099255080413894,0.07847532724382524,1.7763568394002505e-15,0.3437500000000071,0.4375,0.5,0.5
clean,LH2,1,coefficient_over_delta,31916,0.08272251486778259,2.711601734161377,-26.53125,-0.5,0.25,0.515625,27.484375
clean,LH2,1,sin_pi_c_over_delta,31916,0.23486323654651642,0.9154946804046631,-1.0,-0.9700312614440918,0.7409511208534241,0.9951847195625305,1.0
clean,LH2,1,cos_pi_c_over_delta,31916,0.10186170041561127,0.310375452041626,-0.6715589761734009,-0.0980171412229538,2.947812299298894e-15,0.290284663438797,0.803207516670227
clean,LH2,1,qim_phase_mod_1,31916,0.463785320520401,0.106452576816082,0.21875,0.421875,0.5,0.53125,0.796875
clean,LH2,1,classical_decision_margin_over_delta,31916,0.3423253618874545,0.16031101969426412,1.1102230246251565e-16,0.2812500000000051,0.37500000000000344,0.4687499999999991,0.5
clean,HL2,0,coefficient_over_delta,31770,0.005271777510643005,2.9337990283966064,-28.015625,-0.046875,0.0,0.046875,29.921875
clean,HL2,0,sin_pi_c_over_delta,31770,-0.0001866258680820465,0.16881588101387024,-0.8819212913513184,-0.0980171412229538,0.0,0.0980171412229538,0.7071067690849304
clean,HL2,0,cos_pi_c_over_delta,31770,0.5794916152954102,0.7973020672798157,-1.0,0.9415440559387207,0.9951847195625305,1.0,1.0
clean,HL2,0,qim_phase_mod_1,31770,0.323527991771698,0.42887967824935913,0.0,0.0,0.046875,0.90625,1.0
clean,HL2,0,classical_decision_margin_over_delta,31770,0.42421604501101645,0.07851701811436247,0.0,0.3749999999999929,0.43750000000000355,0.5,0.5
clean,HL2,1,coefficient_over_delta,32230,0.1303681582212448,3.000258684158325,-26.453125,-0.5,0.25,0.5,31.40625
clean,HL2,1,sin_pi_c_over_delta,32230,0.25634241104125977,0.9042035937309265,-1.0,-0.9700312614440918,0.7071067690849304,0.9951847195625305,1.0
clean,HL2,1,cos_pi_c_over_delta,32230,0.12158557772636414,0.31925129890441895,-0.8314695954322815,-0.0980171412229538,1.1163462258008579e-14,0.290284663438797,0.8314695954322815
clean,HL2,1,qim_phase_mod_1,32230,0.4581993818283081,0.1103677824139595,0.1875,0.40625,0.5,0.53125,0.8125
clean,HL2,1,classical_decision_margin_over_delta,32230,0.3347492631089047,0.16843588946882185,0.0,0.28125,0.3750000000000071,0.46875,0.5
jpeg90,LH2,0,coefficient_over_delta,32084,-0.0073332893662154675,2.64156174659729,-31.484375,-0.078125,0.0,0.078125,26.890625
jpeg90,LH2,0,sin_pi_c_over_delta,32084,0.0038986338768154383,0.3010238707065582,-1.0,-0.1467304676771164,0.0,0.1467304676771164,1.0
jpeg90,LH2,0,cos_pi_c_over_delta,32084,0.5632656216621399,0.7694812417030334,-1.0,0.803207516670227,0.9807852506637573,1.0,1.0
jpeg90,LH2,0,qim_phase_mod_1,32084,0.36671608686447144,0.4160100817680359,0.0,0.0,0.109375,0.890625,1.0
jpeg90,LH2,0,classical_decision_margin_over_delta,32084,0.36827351639446443,0.13400395112038033,0.0,0.28125000000000067,0.4062499999999992,0.49999999999999933,0.5
jpeg90,LH2,1,coefficient_over_delta,31916,0.05864221602678299,2.690788745880127,-26.5,-0.453125,0.203125,0.46875,27.359375
jpeg90,LH2,1,sin_pi_c_over_delta,31916,0.20131607353687286,0.8565790057182312,-1.0,-0.9238795042037964,0.5956993103027344,0.9415440559387207,1.0
jpeg90,LH2,1,cos_pi_c_over_delta,31916,0.21627847850322723,0.42304596304893494,-1.0,-0.0980171412229538,0.24298018217086792,0.5141027569770813,1.0
jpeg90,LH2,1,qim_phase_mod_1,31916,0.4403316378593445,0.1610138863325119,0.0,0.34375,0.4375,0.546875,1.0
jpeg90,LH2,1,classical_decision_margin_over_delta,31916,0.27180920228098837,0.13630845526039678,0.0,0.15624999999999722,0.28124999999999,0.4062499999999911,0.5
jpeg90,HL2,0,coefficient_over_delta,31770,0.005961795803159475,2.915602922439575,-27.734375,-0.078125,0.0,0.078125,29.796875
jpeg90,HL2,0,sin_pi_c_over_delta,31770,0.003416484221816063,0.31373992562294006,-1.0,-0.1467304676771164,0.0,0.1467304676771164,1.0
jpeg90,HL2,0,cos_pi_c_over_delta,31770,0.5695781707763672,0.7596948742866516,-1.0,0.803207516670227,0.9807852506637573,1.0,1.0
jpeg90,HL2,0,qim_phase_mod_1,31770,0.3512561023235321,0.40892910957336426,0.0,0.0,0.09375,0.875,1.0
jpeg90,HL2,0,classical_decision_margin_over_delta,31770,0.36563385269121806,0.1385423763722822,0.0,0.28125,0.40625,0.5,0.5
jpeg90,HL2,1,coefficient_over_delta,32230,0.10161825269460678,2.9782068729400635,-26.328125,-0.421875,0.171875,0.453125,31.265625
jpeg90,HL2,1,sin_pi_c_over_delta,32230,0.2045460045337677,0.8343344926834106,-1.0,-0.903989315032959,0.5141027569770813,0.9569403529167175,1.0
jpeg90,HL2,1,cos_pi_c_over_delta,32230,0.24709713459014893,0.4483189582824707,-1.0,-0.049067676067352295,0.24298018217086792,0.5956993103027344,1.0
jpeg90,HL2,1,qim_phase_mod_1,32230,0.4299769103527069,0.1791125237941742,0.0,0.328125,0.4375,0.5625,1.0
jpeg90,HL2,1,classical_decision_margin_over_delta,32230,0.280802047781571,0.1266640633725344,0.0,0.1874999999999929,0.2812500000000071,0.375,0.5
jpeg70,LH2,0,coefficient_over_delta,32084,-0.008665242232382298,2.618053436279297,-30.765625,-0.125,0.0,0.125,26.796875
jpeg70,LH2,0,sin_pi_c_over_delta,32084,0.003503331681713462,0.46913355588912964,-1.0,-0.24298018217086792,0.0,0.24298018217086792,1.0
jpeg70,LH2,0,cos_pi_c_over_delta,32084,0.5374375581741333,0.7007583379745483,-1.0,0.3368898630142212,0.9415440559387207,1.0,1.0
jpeg70,LH2,0,qim_phase_mod_1,32084,0.3431612253189087,0.3691905736923218,0.0,0.0,0.171875,0.75,1.0
jpeg70,LH2,0,classical_decision_margin_over_delta,32084,0.3343693507667373,0.16241031043010684,0.0,0.18750000000000444,0.374999999999999,0.5,0.5
jpeg70,LH2,1,coefficient_over_delta,31916,-0.0018417485989630222,2.6623828411102295,-26.203125,-0.375,0.0,0.40625,26.921875
jpeg70,LH2,1,sin_pi_c_over_delta,31916,0.03709518536925316,0.690260648727417,-1.0,-0.6715589761734009,0.0,0.7071067690849304,1.0
jpeg70,LH2,1,cos_pi_c_over_delta,31916,0.3691459000110626,0.6212047934532166,-1.0,-0.0980171412229538,0.5555702447891235,0.9891765117645264,1.0
jpeg70,LH2,1,qim_phase_mod_1,31916,0.3739258944988251,0.2943626046180725,0.0,0.046875,0.375,0.609375,1.0
jpeg70,LH2,1,classical_decision_margin_over_delta,31916,0.30476876801604225,0.16825844612223753,0.0,0.15624999999999978,0.31250000000000666,0.4999999999999931,0.5
jpeg70,HL2,0,coefficient_over_delta,31770,0.0060685197822749615,2.8969781398773193,-27.15625,-0.125,0.0,0.125,29.40625
