condition,bit_index,subband,ber,zero_ber,is_worst_10,target_one_frequency,predicted_one_frequency
clean,0,LH2,0.01,False,False,0.525,0.535
clean,1,LH2,0.015,False,True,0.45,0.465
clean,2,LH2,0.02,False,True,0.54,0.56
clean,3,LH2,0.01,False,False,0.53,0.54
clean,4,LH2,0.0,True,False,0.5,0.5
clean,5,LH2,0.015,False,True,0.525,0.54
clean,6,LH2,0.01,False,False,0.52,0.51
clean,7,LH2,0.01,False,False,0.52,0.51
clean,8,LH2,0.0,True,False,0.495,0.495
clean,9,LH2,0.0,True,False,0.57,0.57
clean,10,LH2,0.0,True,False,0.545,0.545
clean,11,LH2,0.0,True,False,0.51,0.51
clean,12,LH2,0.0,True,False,0.54,0.54
clean,13,LH2,0.015,False,True,0.475,0.49
clean,14,LH2,0.0,True,False,0.52,0.52
clean,15,LH2,0.01,False,False,0.5,0.51
clean,16,LH2,0.0,True,False,0.5,0.5
clean,17,LH2,0.0,True,False,0.455,0.455
clean,18,LH2,0.0,True,False,0.54,0.54
clean,19,LH2,0.01,False,False,0.52,0.52
clean,20,LH2,0.005,False,False,0.5,0.505
clean,21,LH2,0.0,True,False,0.55,0.55
clean,22,LH2,0.0,True,False,0.485,0.485
clean,23,LH2,0.01,False,False,0.56,0.57
clean,24,LH2,0.005,False,False,0.525,0.53
clean,25,LH2,0.005,False,False,0.475,0.48
clean,26,LH2,0.01,False,False,0.535,0.545
clean,27,LH2,0.01,False,False,0.46,0.47
clean,28,LH2,0.0,True,False,0.58,0.58
clean,29,LH2,0.01,False,False,0.505,0.515
clean,30,LH2,0.01,False,False,0.51,0.51
clean,31,LH2,0.0,True,False,0.46,0.46
clean,32,LH2,0.01,False,False,0.53,0.54
clean,33,LH2,0.01,False,False,0.46,0.47
clean,34,LH2,0.01,False,False,0.44,0.45
clean,35,LH2,0.0,True,False,0.475,0.475
clean,36,LH2,0.0,True,False,0.545,0.545
clean,37,LH2,0.01,False,False,0.47,0.48
clean,38,LH2,0.01,False,False,0.5,0.49
clean,39,LH2,0.0,True,False,0.475,0.475
clean,40,LH2,0.0,True,False,0.495,0.495
clean,41,LH2,0.01,False,False,0.5,0.51
clean,42,LH2,0.0,True,False,0.51,0.51
clean,43,LH2,0.0,True,False,0.475,0.475
clean,44,LH2,0.0,True,False,0.54,0.54
clean,45,LH2,0.01,False,False,0.555,0.545
clean,46,LH2,0.005,False,False,0.415,0.42
clean,47,LH2,0.0,True,False,0.52,0.52
clean,48,LH2,0.0,True,False,0.515,0.515
clean,49,LH2,0.005,False,False,0.56,0.565
clean,50,LH2,0.005,False,False,0.485,0.48
clean,51,LH2,0.0,True,False,0.55,0.55
clean,52,LH2,0.02,False,True,0.525,0.525
clean,53,LH2,0.01,False,False,0.44,0.44
clean,54,LH2,0.015,False,True,0.5,0.515
clean,55,LH2,0.0,True,False,0.475,0.475
clean,56,LH2,0.005,False,False,0.51,0.515
clean,57,LH2,0.0,True,False,0.505,0.505
clean,58,LH2,0.01,False,False,0.51,0.52
clean,59,LH2,0.0,True,False,0.535,0.535
clean,60,LH2,0.01,False,False,0.475,0.475
clean,61,LH2,0.005,False,False,0.515,0.52
clean,62,LH2,0.015,False,True,0.52,0.535
clean,63,LH2,0.015,False,False,0.54,0.555
clean,64,HL2,0.0,True,False,0.525,0.525
clean,65,HL2,0.025,False,True,0.54,0.565
clean,66,HL2,0.015,False,False,0.5,0.515
clean,67,HL2,0.005,False,False,0.495,0.5
clean,68,HL2,0.0,True,False,0.49,0.49
clean,69,HL2,0.0,True,False,0.555,0.555
clean,70,HL2,0.0,True,False,0.58,0.58
clean,71,HL2,0.0,True,False,0.505,0.505
clean,72,HL2,0.005,False,False,0.455,0.46
