sample_id,condition,bit_index,target_bit,subband,center_row,center_column,patch_coordinates_after_symmetric_boundary_mapping,raw_3x3_coefficients,derived_3x3x3_features
0,clean,0,0,LH2,0,74,"[[0, 73], [0, 74], [0, 75], [0, 73], [0, 74], [0, 75], [1, 73], [1, 74], [1, 75]]","[[-0.5, -1.0, -8.25], [-0.5, -1.0, -8.25], [7.5, 3.75, -7.25]]","[[[-0.03125, -0.0980171412229538, 0.9951847195625305], [-0.0625, -0.19509032368659973, 0.9807852506637573], [-0.515625, -0.9987954497337341, -0.04906773939728737]], [[-0.03125, -0.0980171412229538, 0.9951847195625305], [-0.0625, -0.19509032368659973, 0.9807852506637573], [-0.515625, -0.9987954497337341, -0.04906773939728737]], [[0.46875, 0.9951847195625305, 0.0980171337723732], [0.234375, 0.6715589761734009, 0.7409511208534241], [-0.453125, -0.9891765117645264, 0.1467304825782776]]]"
0,clean,1,0,LH2,1,115,"[[0, 114], [0, 115], [0, 116], [1, 114], [1, 115], [1, 116], [2, 114], [2, 115], [2, 116]]","[[1.5, 0.75, 2.0], [-7.5, -1.0, -8.75], [-9.0, 3.0, -7.0]]","[[[0.09375, 0.290284663438797, 0.9569403529167175], [0.046875, 0.1467304676771164, 0.9891765117645264], [0.125, 0.3826834559440613, 0.9238795042037964]], [[-0.46875, -0.9951847195625305, 0.0980171337723732], [-0.0625, -0.19509032368659973, 0.9807852506637573], [-0.546875, -0.9891765117645264, -0.14673057198524475]], [[-0.5625, -0.9807852506637573, -0.19509032368659973], [0.1875, 0.5555702447891235, 0.8314695954322815], [-0.4375, -0.9807853102684021, 0.19509023427963257]]]"
0,clean,2,0,LH2,4,124,"[[3, 123], [3, 124], [3, 125], [4, 123], [4, 124], [4, 125], [5, 123], [5, 124], [5, 125]]","[[30.75, -18.0, 11.0], [24.25, -4.263256414560601e-14, 41.5], [-1.75, 46.0, -1.75]]","[[[1.921875, -0.2429802119731903, 0.9700312614440918], [-1.125, 0.3826834559440613, -0.9238795042037964], [0.6875, 0.8314695358276367, -0.5555703639984131]], [[1.515625, -0.9987954497337341, 0.04906782507896423], [-2.6645352591003757e-15, -8.37088441640356e-15, 1.0], [2.59375, 0.9569402933120728, -0.2902848720550537]], [[-0.109375, -0.3368898630142212, 0.9415440559387207], [2.875, 0.38268354535102844, -0.9238795042037964], [-0.109375, -0.3368898630142212, 0.9415440559387207]]]"
0,clean,3,1,LH2,6,92,"[[5, 91], [5, 92], [5, 93], [6, 91], [6, 92], [6, 93], [7, 91], [7, 92], [7, 93]]","[[-2.0, -4.0, 2.5], [-1.5, -7.25, 1.5], [0.5, -0.5, 11.75]]","[[[-0.125, -0.3826834559440613, 0.9238795042037964], [-0.25, -0.7071067690849304, 0.7071067690849304], [0.15625, 0.4713967442512512, 0.8819212317466736]], [[-0.09375, -0.290284663438797, 0.9569403529167175], [-0.453125, -0.9891765117645264, 0.1467304825782776], [0.09375, 0.290284663438797, 0.9569403529167175]], [[0.03125, 0.0980171412229538, 0.9951847195625305], [-0.03125, -0.0980171412229538, 0.9951847195625305], [0.734375, 0.7409510612487793, -0.6715590357780457]]]"
0,clean,62,0,LH2,125,125,"[[124, 124], [124, 125], [124, 126], [125, 124], [125, 125], [125, 126], [126, 124], [126, 125], [126, 126]]","[[-12.75, -5.0, -0.25], [8.75, -1.5, -3.75], [7.5, -1.25, 11.75]]","[[[-0.796875, -0.5956991910934448, -0.8032076358795166], [-0.3125, -0.8314696550369263, 0.5555701851844788], [-0.015625, -0.049067676067352295, 0.9987954497337341]], [[0.546875, 0.9891765117645264, -0.14673057198524475], [-0.09375, -0.290284663438797, 0.9569403529167175], [-0.234375, -0.6715589761734009, 0.7409511208534241]], [[0.46875, 0.9951847195625305, 0.0980171337723732], [-0.078125, -0.2429801970720291, 0.9700312614440918], [0.734375, 0.7409510612487793, -0.6715590357780457]]]"
0,clean,63,1,LH2,126,67,"[[125, 66], [125, 67], [125, 68], [126, 66], [126, 67], [126, 68], [127, 66], [127, 67], [127, 68]]","[[-0.25, -3.25, -0.25], [-0.75, -9.25, -2.0], [-3.75, 5.25, -1.5]]","[[[-0.015625, -0.049067676067352295, 0.9987954497337341], [-0.203125, -0.5956993103027344, 0.803207516670227], [-0.015625, -0.049067676067352295, 0.9987954497337341]], [[-0.046875, -0.1467304676771164, 0.9891765117645264], [-0.578125, -0.9700312614440918, -0.2429802119731903], [-0.125, -0.3826834559440613, 0.9238795042037964]], [[-0.234375, -0.6715589761734009, 0.7409511208534241], [0.328125, 0.8577286601066589, 0.5141026973724365], [-0.09375, -0.290284663438797, 0.9569403529167175]]]"
0,clean,64,1,HL2,0,10,"[[0, 9], [0, 10], [0, 11], [0, 9], [0, 10], [0, 11], [1, 9], [1, 10], [1, 11]]","[[-0.25, 6.75, -0.75], [-0.25, 6.75, -0.75], [2.25, 1.0, -1.0]]","[[[-0.015625, -0.049067676067352295, 0.9987954497337341], [0.421875, 0.9700312614440918, 0.24298012256622314], [-0.046875, -0.1467304676771164, 0.9891765117645264]], [[-0.015625, -0.049067676067352295, 0.9987954497337341], [0.421875, 0.9700312614440918, 0.24298012256622314], [-0.046875, -0.1467304676771164, 0.9891765117645264]], [[0.140625, 0.4275550842285156, 0.903989315032959], [0.0625, 0.19509032368659973, 0.9807852506637573], [-0.0625, -0.19509032368659973, 0.9807852506637573]]]"
0,clean,65,1,HL2,0,108,"[[0, 107], [0, 108], [0, 109], [0, 107], [0, 108], [0, 109], [1, 107], [1, 108], [1, 109]]","[[5.25, 72.25, 34.5], [5.25, 72.25, 34.5], [6.0, 13.5, 87.0]]","[[[0.328125, 0.8577286601066589, 0.5141026973724365], [4.515625, 0.9987954497337341, -0.04906785115599632], [2.15625, 0.47139686346054077, 0.8819211721420288]], [[0.328125, 0.8577286601066589, 0.5141026973724365], [4.515625, 0.9987954497337341, -0.04906785115599632], [2.15625, 0.47139686346054077, 0.8819211721420288]], [[0.375, 0.9238795042037964, 0.3826834559440613], [0.84375, 0.47139662504196167, -0.8819213509559631], [5.4375, -0.9807854294776917, -0.19508957862854004]]]"
0,clean,124,1,HL2,120,22,"[[119, 21], [119, 22], [119, 23], [120, 21], [120, 22], [120, 23], [121, 21], [121, 22], [121, 23]]","[[-38.25, 7.25, 1.25], [-150.5, 8.5, 1.0], [46.0, -2.5, 2.75]]","[[[-2.390625, -0.9415441751480103, 0.3368895649909973], [0.453125, 0.9891765117645264, 0.1467304825782776], [0.078125, 0.2429801970720291, 0.9700312614440918]], [[-9.40625, 0.9569402933120728, -0.29028478264808655], [0.53125, 0.9951847195625305, -0.09801722317934036], [0.0625, 0.19509032368659973, 0.9807852506637573]], [[2.875, 0.38268354535102844, -0.9238795042037964], [-0.15625, -0.4713967442512512, 0.8819212317466736], [0.171875, 0.5141027569770813, 0.8577286005020142]]]"
0,clean,125,1,HL2,120,48,"[[119, 47], [119, 48], [119, 49], [120, 47], [120, 48], [120, 49], [121, 47], [121, 48], [121, 49]]","[[-8.5, 76.5, -1.25], [31.5, 41.5, -2.0], [10.0, 20.25, -2.0]]","[[[-0.53125, -0.9951847195625305, -0.09801722317934036], [4.78125, 0.6343927979469299, -0.7730108499526978], [-0.078125, -0.2429801970720291, 0.9700312614440918]], [[1.96875, -0.09801676869392395, 0.9951847791671753], [2.59375, 0.9569402933120728, -0.2902848720550537], [-0.125, -0.3826834559440613, 0.9238795042037964]], [[0.625, 0.9238795042037964, -0.38268348574638367], [1.265625, -0.7409511804580688, -0.6715589165687561], [-0.125, -0.3826834559440613, 0.9238795042037964]]]"
