epoch,train_bce,train_ber,train_lh2_ber,train_hl2_ber,validation_bce,validation_macro_ber,is_best_checkpoint,train_clean_ber,train_clean_lh2_ber,train_clean_hl2_ber,validation_clean_ber,validation_clean_lh2_ber,validation_clean_hl2_ber,train_jpeg90_ber,train_jpeg90_lh2_ber,train_jpeg90_hl2_ber,validation_jpeg90_ber,validation_jpeg90_lh2_ber,validation_jpeg90_hl2_ber,train_jpeg70_ber,train_jpeg70_lh2_ber,train_jpeg70_hl2_ber,validation_jpeg70_ber,validation_jpeg70_lh2_ber,validation_jpeg70_hl2_ber,train_jpeg50_ber,train_jpeg50_lh2_ber,train_jpeg50_hl2_ber,validation_jpeg50_ber,validation_jpeg50_lh2_ber,validation_jpeg50_hl2_ber,train_reencode1_ber,train_reencode1_lh2_ber,train_reencode1_hl2_ber,validation_reencode1_ber,validation_reencode1_lh2_ber,validation_reencode1_hl2_ber,train_reencode2_ber,train_reencode2_lh2_ber,train_reencode2_hl2_ber,validation_reencode2_ber,validation_reencode2_lh2_ber,validation_reencode2_hl2_ber,train_reencode3_ber,train_reencode3_lh2_ber,train_reencode3_hl2_ber,validation_reencode3_ber,validation_reencode3_lh2_ber,validation_reencode3_hl2_ber
1,0.6348975300788879,0.2542075892857143,0.25710267857142854,0.2513125,0.53628009557724,0.2553850446428572,True,0.1098984375,0.110375,0.109421875,0.088984375,0.092578125,0.085390625,0.15553125,0.150140625,0.160921875,0.131484375,0.13375,0.12921875,0.3602109375,0.368828125,0.35159375,0.3742578125,0.390078125,0.3584375,0.4536640625,0.455296875,0.45203125,0.462265625,0.46125,0.46328125,0.228453125,0.2333125,0.22359375,0.2394140625,0.26328125,0.215546875,0.23453125,0.239640625,0.229421875,0.2440625,0.2675,0.220625,0.2371640625,0.242125,0.232203125,0.2472265625,0.270703125,0.22375
2,0.4821939170360565,0.19814508928571428,0.20091071428571428,0.1953794642857143,0.453496515750885,0.20940290178571427,True,0.0091015625,0.009546875,0.00865625,0.0076953125,0.007265625,0.008125,0.0765546875,0.071359375,0.08175,0.0640625,0.06359375,0.06453125,0.332984375,0.3405,0.32546875,0.35015625,0.36515625,0.33515625,0.44665625,0.44828125,0.44503125,0.4575,0.455078125,0.459921875,0.16484375,0.1700625,0.159625,0.18765625,0.207734375,0.167578125,0.1764453125,0.18134375,0.171546875,0.1978515625,0.217734375,0.17796875,0.1804296875,0.18528125,0.175578125,0.2008984375,0.219453125,0.18234375
3,0.437656968832016,0.18233370535714286,0.17399330357142856,0.19067410714285715,0.4363635778427124,0.18489955357142857,True,0.0061875,0.00590625,0.00646875,0.005234375,0.00515625,0.0053125,0.0647890625,0.058,0.071578125,0.05484375,0.054453125,0.055234375,0.3301796875,0.3368125,0.323546875,0.345390625,0.35984375,0.3309375,0.4459453125,0.4469375,0.444953125,0.4568359375,0.45296875,0.460703125,0.1324921875,0.112875,0.152109375,0.1357421875,0.108203125,0.16328125,0.1464296875,0.1265625,0.166296875,0.146328125,0.119765625,0.172890625,0.1503125,0.130859375,0.169765625,0.149921875,0.121875,0.17796875
4,0.429299920797348,0.1804341517857143,0.17138392857142856,0.189484375,0.4325692653656006,0.18316964285714285,True,0.0059921875,0.00565625,0.006328125,0.005078125,0.0053125,0.00484375,0.0625546875,0.0558125,0.069296875,0.0530859375,0.051953125,0.05421875,0.32928125,0.336265625,0.322296875,0.346484375,0.360390625,0.332578125,0.4456796875,0.446734375,0.444625,0.4568359375,0.453671875,0.46,0.1292265625,0.10753125,0.150921875,0.131484375,0.10140625,0.1615625,0.1430546875,0.121640625,0.16446875,0.1429296875,0.113828125,0.17203125,0.14725,0.126046875,0.168453125,0.1462890625,0.11640625,0.176171875
5,0.4263021647930145,0.176015625,0.17055357142857142,0.18147767857142857,0.4302119314670563,0.17527343750000002,True,0.0056953125,0.005375,0.006015625,0.004609375,0.00484375,0.004375,0.0618203125,0.055078125,0.0685625,0.052890625,0.051640625,0.054140625,0.3285703125,0.33596875,0.321171875,0.3458984375,0.359609375,0.3321875,0.4458984375,0.44703125,0.444765625,0.4574609375,0.455,0.459921875,0.1194375,0.10584375,0.13303125,0.1134765625,0.10140625,0.125546875,0.1331328125,0.120109375,0.14615625,0.12453125,0.113203125,0.135859375,0.1375546875,0.12446875,0.150640625,0.128046875,0.115703125,0.140390625
6,0.4244748055934906,0.17268191964285715,0.16893080357142856,0.1764330357142857,0.42833706736564636,0.1696484375,True,0.0056328125,0.005296875,0.00596875,0.004453125,0.0046875,0.00421875,0.0612421875,0.0544375,0.068046875,0.0533203125,0.052578125,0.0540625,0.3285546875,0.3355,0.321609375,0.3462109375,0.36015625,0.332265625,0.445953125,0.446859375,0.445046875,0.457421875,0.454453125,0.460390625,0.1118046875,0.102484375,0.121125,0.1001953125,0.097109375,0.10328125,0.1255390625,0.11665625,0.134421875,0.1112109375,0.10953125,0.112890625,0.130046875,0.12128125,0.1388125,0.1147265625,0.111875,0.117578125
7,0.42307329177856445,0.17244419642857142,0.168828125,0.17606026785714285,0.4265158474445343,0.16920200892857143,True,0.005734375,0.00546875,0.006,0.004453125,0.005078125,0.003828125,0.060984375,0.05446875,0.0675,0.053359375,0.052109375,0.054609375,0.3285625,0.33575,0.321375,0.3458984375,0.359296875,0.3325,0.445703125,0.446921875,0.444484375,0.457578125,0.455078125,0.460078125,0.11125,0.101828125,0.120671875,0.099140625,0.096875,0.10140625,0.125203125,0.116328125,0.134078125,0.11015625,0.109375,0.1109375,0.129671875,0.12103125,0.1383125,0.113828125,0.111796875,0.115859375
8,0.42187631130218506,0.17213058035714285,0.16841294642857144,0.1758482142857143,0.4242278039455414,0.16836495535714288,True,0.006359375,0.006125,0.00659375,0.0051953125,0.005546875,0.00484375,0.061375,0.055,0.06775,0.0537890625,0.05234375,0.055234375,0.328671875,0.3360625,0.32128125,0.3451953125,0.358984375,0.33140625,0.44615625,0.447828125,0.444484375,0.4573828125,0.45515625,0.459609375,0.1098046875,0.099828125,0.11978125,0.096875,0.09609375,0.09765625,0.1240078125,0.114703125,0.1333125,0.10828125,0.109296875,0.107265625,0.1285390625,0.11934375,0.137734375,0.1118359375,0.11125,0.112421875
9,0.4207206666469574,0.17177120535714285,0.16789955357142858,0.17564285714285716,0.42282575368881226,0.16825892857142857,True,0.0063671875,0.00621875,0.006515625,0.0052734375,0.005546875,0.005,0.061171875,0.05471875,0.067625,0.0533984375,0.051328125,0.05546875,0.328734375,0.336015625,0.321453125,0.34609375,0.359765625,0.332421875,0.446109375,0.447484375,0.444734375,0.45796875,0.455859375,0.460078125,0.1091171875,0.099140625,0.11909375,0.09625,0.094921875,0.097578125,0.1231875,0.113546875,0.132828125,0.107421875,0.107421875,0.107421875,0.1277109375,0.118171875,0.13725,0.11140625,0.110546875,0.112265625
10,0.4198331832885742,0.1715580357142857,0.167734375,0.17538169642857143,0.42171865701675415,0.16822544642857143,True,0.0065078125,0.006265625,0.00675,0.0054296875,0.00546875,0.005390625,0.061375,0.054625,0.068125,0.053671875,0.05171875,0.055625,0.32846875,0.3356875,0.32125,0.3456640625,0.360078125,0.33125,0.4458359375,0.447578125,0.44409375,0.4578125,0.455546875,0.460078125,0.1087109375,0.0989375,0.118484375,0.0962890625,0.09546875,0.097109375,0.1226796875,0.11303125,0.132328125,0.1073828125,0.107890625,0.106875,0.127328125,0.118015625,0.136640625,0.111328125,0.111015625,0.111640625
