delta,condition,classical_ber,cnn_ber,cnn_perfect_recovery_rate,cnn_lh2_ber,cnn_hl2_ber,target_one_frequency,predicted_one_frequency,false_zero_count,false_one_count,cnn_better_than_classical,cnn_equal_classical,cnn_worse_than_classical
8,clean,0.06921875,0.023203125,0.15,0.01765625,0.02875,0.5062109375,0.5227734375,85,509,94,11,95
8,jpeg90,0.2991015625,0.264140625,0.0,0.28125,0.24703125,0.5062109375,0.4263671875,4403,2359,150,12,38
8,jpeg70,0.482578125,0.480234375,0.0,0.481875,0.47859375,0.5062109375,0.3101171875,8657,3637,97,30,73
8,jpeg50,0.5019140625,0.499296875,0.0,0.495390625,0.503203125,0.5062109375,0.2970703125,9068,3714,87,43,70
8,reencode1,0.4074609375,0.3994921875,0.0,0.392421875,0.4065625,0.5062109375,0.3475,7145,3082,107,36,57
8,reencode2,0.41296875,0.4062890625,0.0,0.398984375,0.41359375,0.5062109375,0.34875,7216,3185,105,35,60
8,reencode3,0.413203125,0.4047265625,0.0,0.39578125,0.413671875,0.5062109375,0.35015625,7178,3183,113,30,57
16,clean,0.1278125,0.0003515625,0.955,0.000234375,0.00046875,0.5062109375,0.5065625,0,9,120,79,1
16,jpeg90,0.1716015625,0.054921875,0.01,0.051875,0.05796875,0.5062109375,0.5178515625,554,852,130,11,59
16,jpeg70,0.379609375,0.3498046875,0.0,0.36015625,0.339453125,0.5062109375,0.360546875,6342,2613,137,16,47
16,jpeg50,0.45890625,0.4593359375,0.0,0.45453125,0.464140625,0.5062109375,0.306015625,8442,3317,86,30,84
16,reencode1,0.210546875,0.1808203125,0.0,0.1946875,0.166953125,0.5062109375,0.43984375,3164,1465,117,20,63
16,reencode2,0.21890625,0.1906640625,0.0,0.20546875,0.175859375,0.5062109375,0.438984375,3301,1580,123,19,58
16,reencode3,0.22265625,0.1938671875,0.0,0.207578125,0.18015625,0.5062109375,0.438515625,3348,1615,126,22,52
24,clean,0.1278515625,0.0001953125,0.975,0.00015625,0.000234375,0.5062109375,0.50640625,0,5,123,77,0
24,jpeg90,0.1517578125,0.024296875,0.105,0.023984375,0.024609375,0.5062109375,0.5053515625,322,300,133,20,47
24,jpeg70,0.235078125,0.23375,0.0,0.21671875,0.25078125,0.5062109375,0.4064453125,4269,1715,84,28,88
24,jpeg50,0.3858203125,0.365078125,0.0,0.39,0.34015625,0.5062109375,0.3399609375,6801,2545,128,24,48
24,reencode1,0.161328125,0.040078125,0.015,0.039296875,0.040859375,0.5062109375,0.5193359375,345,681,126,17,57
24,reencode2,0.1702734375,0.05390625,0.005,0.053515625,0.054296875,0.5062109375,0.5168359375,554,826,129,14,57
24,reencode3,0.174296875,0.05828125,0.005,0.058125,0.0584375,0.5062109375,0.5171484375,606,886,127,12,61
32,clean,0.127890625,0.000234375,0.97,0.000234375,0.000234375,0.5062109375,0.5064453125,0,6,121,79,0
32,jpeg90,0.1443359375,0.01203125,0.27,0.01078125,0.01328125,0.5062109375,0.5077734375,134,174,143,32,25
32,jpeg70,0.1873828125,0.1559375,0.005,0.1703125,0.1415625,0.5062109375,0.4380078125,2869,1123,124,18,58
32,jpeg50,0.3118359375,0.2740234375,0.0,0.27046875,0.277578125,0.5062109375,0.389765625,4998,2017,143,16,41
32,reencode1,0.150859375,0.02171875,0.12,0.02078125,0.02265625,0.5062109375,0.5137109375,182,374,133,17,50
32,reencode2,0.157109375,0.0309765625,0.05,0.029453125,0.0325,0.5062109375,0.512421875,317,476,137,14,49
32,reencode3,0.16,0.03546875,0.05,0.034140625,0.036796875,0.5062109375,0.5132421875,364,544,133,18,49
