condition,subband,offset_row,offset_column,training_ber,validation_ber,validation_false_zero_count,validation_false_one_count,median_absolute_displacement_from_clean_center,mean_absolute_displacement_from_clean_center,median_circular_phase_displacement_from_clean_center,mean_circular_phase_displacement_from_clean_center,overlap_coefficient,total_variation_distance,jensen_shannon_divergence_bits,target0_phase_mean,target0_phase_std,target1_phase_mean,target1_phase_std
resize25,LH2,-1,-1,0.49615625,0.501171875,4955,1460,8.25,20.6402530670166,0.2395833283662796,0.22030355036258698,0.9473686652505142,0.0526313347494857,0.004151027217957086,0.3545832335948944,0.36771291494369507,0.35932689905166626,0.3670869469642639
resize25,LH2,-1,0,0.49975,0.5015625,4985,1435,8.25,20.184648513793945,0.2395833283662796,0.22013671696186066,0.9404648492288086,0.05953515077119158,0.0040870586997412955,0.34316486120224,0.3646078407764435,0.3482641875743866,0.36452099680900574
resize25,LH2,-1,1,0.498890625,0.507421875,5010,1485,8.5,20.2952938079834,0.25,0.22256267070770264,0.957792544912142,0.042207455087858003,0.002828421330944489,0.35466089844703674,0.36790624260902405,0.3601107895374298,0.37101510167121887
resize25,LH2,0,-1,0.498,0.501640625,4985,1436,8.25,18.95101547241211,0.2395833283662796,0.22094237804412842,0.943373001814195,0.05662699818580509,0.003847600097260374,0.36278000473976135,0.37219899892807007,0.3708817660808563,0.37402892112731934
resize25,LH2,0,0,0.49865625,0.506640625,5017,1468,6.75,14.984844207763672,0.24999994039535522,0.22177083790302277,0.9339862305605056,0.06601376943949455,0.005653061898654655,0.35067570209503174,0.366605281829834,0.3637048304080963,0.37043625116348267
resize25,LH2,0,1,0.499015625,0.50953125,5005,1517,8.0,18.87970733642578,0.2499999850988388,0.22248779237270355,0.9412920939763317,0.05870790602366824,0.0045915091154028215,0.3522079586982727,0.3644154667854309,0.3647148013114929,0.36969849467277527
resize25,LH2,1,-1,0.498,0.498515625,4932,1449,8.5,20.773574829101562,0.2395833283662796,0.21999268233776093,0.9380301474984516,0.06196985250154846,0.004934821532217073,0.3527253270149231,0.36706775426864624,0.3548608124256134,0.3655138909816742
resize25,LH2,1,0,0.49715625,0.50421875,4979,1475,8.25,20.61996078491211,0.24999994039535522,0.2215576171875,0.9303800139075579,0.06961998609244219,0.005425483632874805,0.3505798578262329,0.36607009172439575,0.3814058303833008,0.37596648931503296
resize25,LH2,1,1,0.498625,0.50140625,5008,1410,8.25,20.553613662719727,0.23958349227905273,0.22101318836212158,0.9499833896600169,0.05001661033998304,0.004091856500417082,0.34442272782325745,0.365011066198349,0.35440388321876526,0.3680933713912964
resize25,HL2,-1,-1,0.502921875,0.5046875,5000,1460,8.25,22.001953125,0.23958349227905273,0.22020508348941803,0.9439060858043282,0.056093914195671946,0.004479848678390656,0.3414395749568939,0.36587056517601013,0.32333099842071533,0.36046871542930603
resize25,HL2,-1,0,0.503578125,0.50859375,4989,1521,7.5,19.258007049560547,0.24999994039535522,0.21902181208133698,0.9523306548429362,0.047669345157063725,0.003806172989666131,0.33077970147132874,0.3598061203956604,0.3391357660293579,0.3658590316772461
resize25,HL2,-1,1,0.5040625,0.502734375,5015,1420,8.0,21.527870178222656,0.23958337306976318,0.21763916313648224,0.9458782620364511,0.05412173796354889,0.00460269486490556,0.33344340324401855,0.36400631070137024,0.34691646695137024,0.3696801960468292
resize25,HL2,0,-1,0.50521875,0.5046875,5009,1451,7.75,21.766620635986328,0.2395833283662796,0.21839924156665802,0.9492283710636897,0.05077162893631035,0.004028402795251163,0.33374249935150146,0.363224595785141,0.3211270570755005,0.35951220989227295
resize25,HL2,0,0,0.501328125,0.5059375,5010,1466,6.75,16.509471893310547,0.24999994039535522,0.21890705823898315,0.9393033727502441,0.060696627249755775,0.005495848581719013,0.33435049653053284,0.3623404800891876,0.334118515253067,0.36446845531463623
resize25,HL2,0,1,0.504609375,0.508359375,4997,1510,8.0,21.605058670043945,0.2499999701976776,0.21872802078723907,0.9343444994111892,0.06565550058881081,0.006209665161264957,0.3366248309612274,0.36400049924850464,0.3551904559135437,0.37218722701072693
resize25,HL2,1,-1,0.500140625,0.508359375,5073,1434,7.75,21.441015243530273,0.25,0.2203710973262787,0.9484161390735716,0.0515838609264284,0.0044347134403935565,0.33857205510139465,0.3650986850261688,0.33030393719673157,0.36550936102867126
resize25,HL2,1,0,0.50234375,0.50390625,5011,1439,7.25,18.97689437866211,0.23958337306976318,0.21850994229316711,0.9506337477581887,0.049366252241811334,0.004318967020296631,0.3373100161552429,0.3654049038887024,0.32256677746772766,0.3602725863456726
resize25,HL2,1,1,0.501484375,0.50671875,5043,1443,8.0,21.32845687866211,0.25,0.21982665359973907,0.9512879819966067,0.04871201800339335,0.0036974605721093057,0.34341809153556824,0.36678871512413025,0.33326074481010437,0.3647998571395874
resize25,combined,-1,-1,0.4995390625,0.5029296875,9955,2920,8.25,21.321104049682617,0.23958337306976318,0.2202543318271637,0.9644125507427692,0.035587449257230654,0.0022850534239289917,0.3479921519756317,0.36684906482696533,0.34138035774230957,0.36424726247787476
resize25,combined,-1,0,0.5016640625,0.505078125,9974,2956,8.0,19.721328735351562,0.2395833283662796,0.21957926452159882,0.9620663085836628,0.03793369141633727,0.0016615115402810765,0.33695414662361145,0.3622608482837677,0.34371304512023926,0.3652172386646271
resize25,combined,-1,1,0.5014765625,0.505078125,10025,2905,8.25,20.911582946777344,0.2499999701976776,0.22010089457035065,0.9653383222541803,0.03466167774581967,0.0019112384704060605,0.3440210819244385,0.3661094903945923,0.35353243350982666,0.37040889263153076
