condition,window,subband,offset_row,offset_column,count,percentage
resize25,3x3,LH2,-1,-1,4234,0.33078125
resize25,3x3,LH2,-1,0,1146,0.08953125
resize25,3x3,LH2,-1,1,1227,0.095859375
resize25,3x3,LH2,0,-1,1154,0.09015625
resize25,3x3,LH2,0,0,906,0.07078125
resize25,3x3,LH2,0,1,1010,0.07890625
resize25,3x3,LH2,1,-1,1206,0.09421875
resize25,3x3,LH2,1,0,890,0.06953125
resize25,3x3,LH2,1,1,1027,0.080234375
resize25,3x3,HL2,-1,-1,4653,0.363515625
resize25,3x3,HL2,-1,0,1143,0.089296875
resize25,3x3,HL2,-1,1,1213,0.094765625
resize25,3x3,HL2,0,-1,1000,0.078125
resize25,3x3,HL2,0,0,979,0.076484375
resize25,3x3,HL2,0,1,945,0.073828125
resize25,3x3,HL2,1,-1,1022,0.07984375
resize25,3x3,HL2,1,0,897,0.070078125
resize25,3x3,HL2,1,1,948,0.0740625
resize25,5x5,LH2,-2,-2,3248,0.25375
resize25,5x5,LH2,-2,-1,548,0.0428125
resize25,5x5,LH2,-2,0,502,0.03921875
resize25,5x5,LH2,-2,1,486,0.03796875
resize25,5x5,LH2,-2,2,481,0.037578125
resize25,5x5,LH2,-1,-2,483,0.037734375
resize25,5x5,LH2,-1,-1,401,0.031328125
resize25,5x5,LH2,-1,0,405,0.031640625
resize25,5x5,LH2,-1,1,402,0.03140625
resize25,5x5,LH2,-1,2,373,0.029140625
resize25,5x5,LH2,0,-2,424,0.033125
resize25,5x5,LH2,0,-1,391,0.030546875
resize25,5x5,LH2,0,0,347,0.027109375
resize25,5x5,LH2,0,1,351,0.027421875
resize25,5x5,LH2,0,2,382,0.02984375
resize25,5x5,LH2,1,-2,412,0.0321875
resize25,5x5,LH2,1,-1,337,0.026328125
resize25,5x5,LH2,1,0,303,0.023671875
resize25,5x5,LH2,1,1,309,0.024140625
resize25,5x5,LH2,1,2,337,0.026328125
resize25,5x5,LH2,2,-2,413,0.032265625
resize25,5x5,LH2,2,-1,366,0.02859375
resize25,5x5,LH2,2,0,325,0.025390625
resize25,5x5,LH2,2,1,367,0.028671875
resize25,5x5,LH2,2,2,407,0.031796875
resize25,5x5,HL2,-2,-2,3572,0.2790625
resize25,5x5,HL2,-2,-1,530,0.04140625
resize25,5x5,HL2,-2,0,486,0.03796875
resize25,5x5,HL2,-2,1,518,0.04046875
resize25,5x5,HL2,-2,2,520,0.040625
resize25,5x5,HL2,-1,-2,436,0.0340625
resize25,5x5,HL2,-1,-1,436,0.0340625
resize25,5x5,HL2,-1,0,357,0.027890625
resize25,5x5,HL2,-1,1,370,0.02890625
resize25,5x5,HL2,-1,2,382,0.02984375
resize25,5x5,HL2,0,-2,342,0.02671875
resize25,5x5,HL2,0,-1,364,0.0284375
resize25,5x5,HL2,0,0,415,0.032421875
resize25,5x5,HL2,0,1,308,0.0240625
resize25,5x5,HL2,0,2,364,0.0284375
resize25,5x5,HL2,1,-2,394,0.03078125
resize25,5x5,HL2,1,-1,322,0.02515625
resize25,5x5,HL2,1,0,271,0.021171875
resize25,5x5,HL2,1,1,290,0.02265625
resize25,5x5,HL2,1,2,352,0.0275
resize25,5x5,HL2,2,-2,415,0.032421875
resize25,5x5,HL2,2,-1,316,0.0246875
resize25,5x5,HL2,2,0,318,0.02484375
resize25,5x5,HL2,2,1,327,0.025546875
resize25,5x5,HL2,2,2,395,0.030859375
resize50,3x3,LH2,-1,-1,2696,0.210625
resize50,3x3,LH2,-1,0,894,0.06984375
resize50,3x3,LH2,-1,1,819,0.063984375
resize50,3x3,LH2,0,-1,855,0.066796875
resize50,3x3,LH2,0,0,4957,0.387265625
resize50,3x3,LH2,0,1,675,0.052734375
resize50,3x3,LH2,1,-1,657,0.051328125
resize50,3x3,LH2,1,0,597,0.046640625
resize50,3x3,LH2,1,1,650,0.05078125
resize50,3x3,HL2,-1,-1,2714,0.21203125
resize50,3x3,HL2,-1,0,1102,0.08609375
resize50,3x3,HL2,-1,1,787,0.061484375
resize50,3x3,HL2,0,-1,701,0.054765625
resize50,3x3,HL2,0,0,4973,0.388515625
resize50,3x3,HL2,0,1,650,0.05078125
resize50,3x3,HL2,1,-1,691,0.053984375
resize50,3x3,HL2,1,0,584,0.045625
resize50,3x3,HL2,1,1,598,0.04671875
resize50,5x5,LH2,-2,-2,2223,0.173671875
resize50,5x5,LH2,-2,-1,474,0.03703125
resize50,5x5,LH2,-2,0,391,0.030546875
resize50,5x5,LH2,-2,1,406,0.03171875
resize50,5x5,LH2,-2,2,378,0.02953125
resize50,5x5,LH2,-1,-2,350,0.02734375
resize50,5x5,LH2,-1,-1,309,0.024140625
resize50,5x5,LH2,-1,0,394,0.03078125
resize50,5x5,LH2,-1,1,328,0.025625
resize50,5x5,LH2,-1,2,316,0.0246875
resize50,5x5,LH2,0,-2,294,0.02296875
resize50,5x5,LH2,0,-1,395,0.030859375
