condition,window,subband,oracle_non_deployable_ber,center_retained_percentage,one_pixel_axial_percentage,one_pixel_diagonal_percentage,two_pixel_away_percentage,mean_euclidean_spatial_displacement
resize25,3x3,LH2,0.220546875,0.07078125,0.328125,0.60109375,0.0,1.178199933507703
resize25,3x3,HL2,0.24015625,0.076484375,0.311328125,0.6121875,0.0,1.1770919902152792
resize25,3x3,combined,0.2303515625,0.0736328125,0.3197265625,0.606640625,0.0,1.177645961861491
resize25,5x5,LH2,0.17734375,0.027109375,0.11328125,0.113203125,0.74640625,2.1227915361311194
resize25,5x5,HL2,0.2003125,0.032421875,0.1015625,0.11078125,0.755234375,2.1459926456025538
resize25,5x5,combined,0.188828125,0.029765625,0.107421875,0.1119921875,0.7508203125,2.134392090866837
resize50,3x3,LH2,0.127109375,0.387265625,0.236015625,0.37671875,0.0,0.7687763904502396
resize50,3x3,HL2,0.14671875,0.388515625,0.237265625,0.37421875,0.0,0.7664908565443066
resize50,3x3,combined,0.1369140625,0.387890625,0.236640625,0.37546875,0.0,0.7676336234972732
resize50,5x5,LH2,0.121015625,0.2584375,0.1075,0.09015625,0.54390625,1.5711756696426742
resize50,5x5,HL2,0.137734375,0.25890625,0.098203125,0.084765625,0.558125,1.5910853333285968
resize50,5x5,combined,0.129375,0.258671875,0.1028515625,0.0874609375,0.551015625,1.5811305014856356
