condition,window,subband,target_aware_oracle_correct_evidence_rate,target_aware_oracle_unrecoverable_rate
resize25,3x3,LH2,0.793046875,0.20695312499999996
resize25,3x3,HL2,0.773828125,0.22617187500000002
resize25,3x3,combined,0.7834375,0.2165625
resize25,5x5,LH2,0.841484375,0.15851562500000005
resize25,5x5,HL2,0.82015625,0.17984374999999997
resize25,5x5,combined,0.8308203125,0.1691796875
resize50,3x3,LH2,0.884453125,0.11554687500000005
resize50,3x3,HL2,0.865390625,0.13460937500000003
resize50,3x3,combined,0.874921875,0.12507812500000004
resize50,5x5,LH2,0.896953125,0.10304687499999998
resize50,5x5,HL2,0.8790625,0.12093750000000003
resize50,5x5,combined,0.8880078125,0.11199218749999995
