row_id,base_pair_index,image_filename,payload_index,payload_fingerprint,condition,classical_ber,cnn_ber,cnn_mean_probability,cnn_mean_confidence
0,0,5233540.png,0,bad6366e8f83df4d68b7418183787a2527d66929e81f8a968f5357607d8890cd,clean,0.203125,0.0,0.5776888728141785,0.863495945930481
1,0,5233540.png,0,bad6366e8f83df4d68b7418183787a2527d66929e81f8a968f5357607d8890cd,resize75,0.3125,0.109375,0.5965004563331604,0.7425504326820374
2,0,5233540.png,0,bad6366e8f83df4d68b7418183787a2527d66929e81f8a968f5357607d8890cd,resize50,0.3671875,0.1796875,0.5517803430557251,0.7244579792022705
3,0,5233540.png,0,bad6366e8f83df4d68b7418183787a2527d66929e81f8a968f5357607d8890cd,resize25,0.5546875,0.5078125,0.31697309017181396,0.7147234678268433
4,1,5233540.png,1,d67d3e800bfbc2b70221bd798f679a95f90eee7295f55b6a24e47f21ded45f55,clean,0.1484375,0.0,0.49633657932281494,0.851677417755127
5,1,5233540.png,1,d67d3e800bfbc2b70221bd798f679a95f90eee7295f55b6a24e47f21ded45f55,resize75,0.265625,0.1328125,0.49514293670654297,0.7706674337387085
6,1,5233540.png,1,d67d3e800bfbc2b70221bd798f679a95f90eee7295f55b6a24e47f21ded45f55,resize50,0.34375,0.203125,0.5457460880279541,0.7271178960800171
7,1,5233540.png,1,d67d3e800bfbc2b70221bd798f679a95f90eee7295f55b6a24e47f21ded45f55,resize25,0.4765625,0.4453125,0.3118041157722473,0.7039961814880371
8,2,5233654.png,0,b0d9826d06721939096f6dea3e61f2b55902fea04d3eb3a260495ceb8f127fc5,clean,0.03125,0.0,0.5253239870071411,0.8596387505531311
9,2,5233654.png,0,b0d9826d06721939096f6dea3e61f2b55902fea04d3eb3a260495ceb8f127fc5,resize75,0.1953125,0.1171875,0.5084182024002075,0.766755998134613
10,2,5233654.png,0,b0d9826d06721939096f6dea3e61f2b55902fea04d3eb3a260495ceb8f127fc5,resize50,0.2421875,0.1640625,0.5193365812301636,0.7649606466293335
11,2,5233654.png,0,b0d9826d06721939096f6dea3e61f2b55902fea04d3eb3a260495ceb8f127fc5,resize25,0.4609375,0.5,0.43078625202178955,0.7347835302352905
12,3,5233654.png,1,57136fba8284d589b716664175e5165e5d38b77b6d73d40d0f85e327f1b455e6,clean,0.03125,0.0,0.47516191005706787,0.8499577045440674
13,3,5233654.png,1,57136fba8284d589b716664175e5165e5d38b77b6d73d40d0f85e327f1b455e6,resize75,0.1953125,0.1171875,0.4951401948928833,0.7742670178413391
14,3,5233654.png,1,57136fba8284d589b716664175e5165e5d38b77b6d73d40d0f85e327f1b455e6,resize50,0.234375,0.1640625,0.4995945692062378,0.7274509072303772
15,3,5233654.png,1,57136fba8284d589b716664175e5165e5d38b77b6d73d40d0f85e327f1b455e6,resize25,0.5,0.53125,0.42908626794815063,0.7309072017669678
16,4,5233837.png,0,bb569bfd73c3e6ee2d84cc970f4ff5c882cf5612c49bc2a371224af1bb819ce9,clean,0.0,0.0,0.5751636028289795,0.8860573172569275
17,4,5233837.png,0,bb569bfd73c3e6ee2d84cc970f4ff5c882cf5612c49bc2a371224af1bb819ce9,resize75,0.03125,0.03125,0.5795514583587646,0.8582072257995605
18,4,5233837.png,0,bb569bfd73c3e6ee2d84cc970f4ff5c882cf5612c49bc2a371224af1bb819ce9,resize50,0.0234375,0.03125,0.5837677717208862,0.8386147022247314
19,4,5233837.png,0,bb569bfd73c3e6ee2d84cc970f4ff5c882cf5612c49bc2a371224af1bb819ce9,resize25,0.546875,0.5546875,0.3499324917793274,0.7344344854354858
20,5,5233837.png,1,47e11f6d892502097da7c1f1b2501b0885a6556d80cfb8884c65e9ecebffbf22,clean,0.0,0.0,0.53482985496521,0.8783183097839355
21,5,5233837.png,1,47e11f6d892502097da7c1f1b2501b0885a6556d80cfb8884c65e9ecebffbf22,resize75,0.03125,0.03125,0.5383016467094421,0.8456798791885376
22,5,5233837.png,1,47e11f6d892502097da7c1f1b2501b0885a6556d80cfb8884c65e9ecebffbf22,resize50,0.0390625,0.046875,0.5459033250808716,0.8333706259727478
23,5,5233837.png,1,47e11f6d892502097da7c1f1b2501b0885a6556d80cfb8884c65e9ecebffbf22,resize25,0.53125,0.5546875,0.3506946563720703,0.7326608896255493
24,6,5233987.png,0,5de5e59c62e96c80f3ab33967f5e386a8844879a984061f2f9a3a9f6571c441c,clean,0.0,0.0,0.5704705119132996,0.8843479752540588
25,6,5233987.png,0,5de5e59c62e96c80f3ab33967f5e386a8844879a984061f2f9a3a9f6571c441c,resize75,0.109375,0.109375,0.5941966772079468,0.827118456363678
26,6,5233987.png,0,5de5e59c62e96c80f3ab33967f5e386a8844879a984061f2f9a3a9f6571c441c,resize50,0.09375,0.1171875,0.6180089712142944,0.8178179860115051
27,6,5233987.png,0,5de5e59c62e96c80f3ab33967f5e386a8844879a984061f2f9a3a9f6571c441c,resize25,0.5234375,0.5078125,0.3174282908439636,0.7435729503631592
28,7,5233987.png,1,562ad2f2109cae3619543092025635e1e62165029cd1d988637f4f895bf445be,clean,0.0,0.0,0.5380590558052063,0.8710343837738037
29,7,5233987.png,1,562ad2f2109cae3619543092025635e1e62165029cd1d988637f4f895bf445be,resize75,0.109375,0.109375,0.5300271511077881,0.8474442958831787
30,7,5233987.png,1,562ad2f2109cae3619543092025635e1e62165029cd1d988637f4f895bf445be,resize50,0.1015625,0.1171875,0.5389672517776489,0.8061258792877197
31,7,5233987.png,1,562ad2f2109cae3619543092025635e1e62165029cd1d988637f4f895bf445be,resize25,0.5546875,0.5546875,0.31738877296447754,0.7435242533683777
