condition,bit_index,subband,ber,target_one_frequency,predicted_one_frequency,false_zero_count,false_one_count
clean,0,LH2,0.005,0.525,0.53,0,1
clean,1,LH2,0.0,0.45,0.45,0,0
clean,2,LH2,0.0,0.54,0.54,0,0
clean,3,LH2,0.005,0.53,0.535,0,1
clean,4,LH2,0.0,0.5,0.5,0,0
clean,5,LH2,0.0,0.525,0.525,0,0
clean,6,LH2,0.0,0.52,0.52,0,0
clean,7,LH2,0.0,0.52,0.52,0,0
clean,8,LH2,0.0,0.495,0.495,0,0
clean,9,LH2,0.0,0.57,0.57,0,0
clean,10,LH2,0.0,0.545,0.545,0,0
clean,11,LH2,0.0,0.51,0.51,0,0
clean,12,LH2,0.0,0.54,0.54,0,0
clean,13,LH2,0.005,0.475,0.48,0,1
clean,14,LH2,0.0,0.52,0.52,0,0
clean,15,LH2,0.0,0.5,0.5,0,0
clean,16,LH2,0.005,0.5,0.495,1,0
clean,17,LH2,0.0,0.455,0.455,0,0
clean,18,LH2,0.0,0.54,0.54,0,0
clean,19,LH2,0.0,0.52,0.52,0,0
clean,20,LH2,0.0,0.5,0.5,0,0
clean,21,LH2,0.0,0.55,0.55,0,0
clean,22,LH2,0.0,0.485,0.485,0,0
clean,23,LH2,0.0,0.56,0.56,0,0
clean,24,LH2,0.0,0.525,0.525,0,0
clean,25,LH2,0.0,0.475,0.475,0,0
clean,26,LH2,0.0,0.535,0.535,0,0
clean,27,LH2,0.01,0.46,0.47,0,2
clean,28,LH2,0.0,0.58,0.58,0,0
clean,29,LH2,0.0,0.505,0.505,0,0
clean,30,LH2,0.01,0.51,0.52,0,2
clean,31,LH2,0.0,0.46,0.46,0,0
clean,32,LH2,0.0,0.53,0.53,0,0
clean,33,LH2,0.0,0.46,0.46,0,0
clean,34,LH2,0.0,0.44,0.44,0,0
clean,35,LH2,0.0,0.475,0.475,0,0
clean,36,LH2,0.0,0.545,0.545,0,0
clean,37,LH2,0.0,0.47,0.47,0,0
clean,38,LH2,0.005,0.5,0.505,0,1
clean,39,LH2,0.0,0.475,0.475,0,0
clean,40,LH2,0.0,0.495,0.495,0,0
clean,41,LH2,0.0,0.5,0.5,0,0
clean,42,LH2,0.0,0.51,0.51,0,0
clean,43,LH2,0.0,0.475,0.475,0,0
clean,44,LH2,0.0,0.54,0.54,0,0
clean,45,LH2,0.0,0.555,0.555,0,0
clean,46,LH2,0.0,0.415,0.415,0,0
clean,47,LH2,0.0,0.52,0.52,0,0
clean,48,LH2,0.0,0.515,0.515,0,0
clean,49,LH2,0.0,0.56,0.56,0,0
clean,50,LH2,0.0,0.485,0.485,0,0
clean,51,LH2,0.0,0.55,0.55,0,0
clean,52,LH2,0.0,0.525,0.525,0,0
clean,53,LH2,0.0,0.44,0.44,0,0
clean,54,LH2,0.005,0.5,0.505,0,1
clean,55,LH2,0.0,0.475,0.475,0,0
clean,56,LH2,0.0,0.51,0.51,0,0
clean,57,LH2,0.0,0.505,0.505,0,0
clean,58,LH2,0.0,0.51,0.51,0,0
clean,59,LH2,0.0,0.535,0.535,0,0
clean,60,LH2,0.0,0.475,0.475,0,0
clean,61,LH2,0.0,0.515,0.515,0,0
clean,62,LH2,0.0,0.52,0.52,0,0
clean,63,LH2,0.0,0.54,0.54,0,0
clean,64,HL2,0.0,0.525,0.525,0,0
