sample_id,condition,bit_index,target_bit,subband,center_row,center_column,raw_3x3_coefficients,derived_3x3x3_features
0,clean,0,0,LH2,0,74,"[[-0.5, -1.0, -8.25], [-0.5, -1.0, -8.25], [7.5, 3.75, -7.25]]","[[[-0.02083333395421505, -0.06540313363075256, 0.9978589415550232], [-0.0416666679084301, -0.13052619993686676, 0.9914448857307434], [-0.34375, -0.8819212913513184, 0.47139668464660645]], [[-0.02083333395421505, -0.06540313363075256, 0.9978589415550232], [-0.0416666679084301, -0.13052619993686676, 0.9914448857307434], [-0.34375, -0.8819212913513184, 0.47139668464660645]], [[0.3125, 0.8314696550369263, 0.5555701851844788], [0.15625, 0.4713967442512512, 0.8819212317466736], [-0.3020833432674408, -0.8128467202186584, 0.5824776291847229]]]"
0,clean,1,0,LH2,1,115,"[[1.5, 0.75, 2.0], [-7.5, -1.0, -8.75], [-9.0, 3.0, -7.0]]","[[[0.0625, 0.19509032368659973, 0.9807852506637573], [0.03125, 0.0980171412229538, 0.9951847195625305], [0.0833333358168602, 0.258819043636322, 0.9659258127212524]], [[-0.3125, -0.8314696550369263, 0.5555701851844788], [-0.0416666679084301, -0.13052619993686676, 0.9914448857307434], [-0.3645833432674408, -0.9108638167381287, 0.41270697116851807]], [[-0.375, -0.9238795042037964, 0.3826834559440613], [0.125, 0.3826834559440613, 0.9238795042037964], [-0.2916666567325592, -0.7933533191680908, 0.6087614297866821]]]"
0,clean,2,0,LH2,4,124,"[[30.75, -18.0, 11.0], [24.25, -4.263256414560601e-14, 41.5], [-1.75, 46.0, -1.75]]","[[[1.28125, -0.7730104327201843, -0.6343933343887329], [-0.75, -0.7071067690849304, -0.7071067690849304], [0.4583333432674408, 0.9914448857307434, 0.1305261254310608]], [[1.0104166269302368, -0.03271910175681114, -0.9994645714759827], [-1.7763568394002505e-15, -5.580589752107864e-15, 1.0], [1.7291666269302368, -0.751839816570282, 0.659345805644989]], [[-0.0729166641831398, -0.22707626223564148, 0.973876953125], [1.9166666269302368, -0.2588188350200653, 0.9659258723258972], [-0.0729166641831398, -0.22707626223564148, 0.973876953125]]]"
0,clean,3,1,LH2,6,92,"[[-2.0, -4.0, 2.5], [-1.5, -11.25, 1.5], [0.5, -0.5, 11.75]]","[[[-0.0833333358168602, -0.258819043636322, 0.9659258127212524], [-0.1666666716337204, -0.5, 0.8660253882408142], [0.1041666641831398, 0.3214394450187683, 0.9469301104545593]], [[-0.0625, -0.19509032368659973, 0.9807852506637573], [-0.46875, -0.9951847195625305, 0.0980171337723732], [0.0625, 0.19509032368659973, 0.9807852506637573]], [[0.02083333395421505, 0.06540313363075256, 0.9978589415550232], [-0.02083333395421505, -0.06540313363075256, 0.9978589415550232], [0.4895833432674408, 0.9994645714759827, 0.032718971371650696]]]"
0,clean,62,0,LH2,125,125,"[[-12.75, -5.0, -0.25], [8.75, -1.5, -3.75], [7.5, -1.25, 11.75]]","[[[-0.53125, -0.9951847195625305, -0.09801722317934036], [-0.2083333283662796, -0.6087614297866821, 0.7933533191680908], [-0.010416666977107525, -0.03271908313035965, 0.9994645714759827]], [[0.3645833432674408, 0.9108638167381287, 0.41270697116851807], [-0.0625, -0.19509032368659973, 0.9807852506637573], [-0.15625, -0.4713967442512512, 0.8819212317466736]], [[0.3125, 0.8314696550369263, 0.5555701851844788], [-0.0520833320915699, -0.16289547085762024, 0.9866433143615723], [0.4895833432674408, 0.9994645714759827, 0.032718971371650696]]]"
0,clean,63,1,LH2,126,67,"[[-0.25, -3.25, -0.25], [-0.75, -13.25, -2.0], [-3.75, 5.25, -1.5]]","[[[-0.010416666977107525, -0.03271908313035965, 0.9994645714759827], [-0.1354166716337204, -0.41270706057548523, 0.9108638167381287], [-0.010416666977107525, -0.03271908313035965, 0.9994645714759827]], [[-0.03125, -0.0980171412229538, 0.9951847195625305], [-0.5520833134651184, -0.9866433143615723, -0.16289542615413666], [-0.0833333358168602, -0.258819043636322, 0.9659258127212524]], [[-0.15625, -0.4713967442512512, 0.8819212317466736], [0.21875, 0.6343933343887329, 0.7730104327201843], [-0.0625, -0.19509032368659973, 0.9807852506637573]]]"
0,clean,64,1,HL2,0,10,"[[-0.25, 9.0, -0.75], [-0.25, 9.0, -0.75], [2.25, 1.0, -1.0]]","[[[-0.010416666977107525, -0.03271908313035965, 0.9994645714759827], [0.375, 0.9238795042037964, 0.3826834559440613], [-0.03125, -0.0980171412229538, 0.9951847195625305]], [[-0.010416666977107525, -0.03271908313035965, 0.9994645714759827], [0.375, 0.9238795042037964, 0.3826834559440613], [-0.03125, -0.0980171412229538, 0.9951847195625305]], [[0.09375, 0.290284663438797, 0.9569403529167175], [0.0416666679084301, 0.13052619993686676, 0.9914448857307434], [-0.0416666679084301, -0.13052619993686676, 0.9914448857307434]]]"
0,clean,65,1,HL2,0,108,"[[5.25, 60.25, 34.5], [5.25, 60.25, 34.5], [6.0, 13.5, 87.0]]","[[[0.21875, 0.6343933343887329, 0.7730104327201843], [2.5104167461395264, 0.9994645714759827, -0.03271935507655144], [1.4375, -0.9807852506637573, -0.1950903832912445]], [[0.21875, 0.6343933343887329, 0.7730104327201843], [2.5104167461395264, 0.9994645714759827, -0.03271935507655144], [1.4375, -0.9807852506637573, -0.1950903832912445]], [[0.25, 0.7071067690849304, 0.7071067690849304], [0.5625, 0.9807852506637573, -0.19509032368659973], [3.625, -0.9238795638084412, 0.38268330693244934]]]"
0,clean,124,1,HL2,120,22,"[[-38.25, 7.25, 1.25], [-150.5, 12.25, 1.0], [46.0, -2.5, 2.75]]","[[[-1.59375, 0.956940233707428, 0.29028502106666565], [0.3020833432674408, 0.8128467202186584, 0.5824776291847229], [0.0520833320915699, 0.16289547085762024, 0.9866433143615723]], [[-6.270833492279053, -0.7518405914306641, 0.6593449115753174], [0.5104166865348816, 0.9994645714759827, -0.03271917998790741], [0.0416666679084301, 0.13052619993686676, 0.9914448857307434]], [[1.9166666269302368, -0.2588188350200653, 0.9659258723258972], [-0.1041666641831398, -0.3214394450187683, 0.9469301104545593], [0.1145833358168602, 0.3522500693798065, 0.935905933380127]]]"
0,clean,125,1,HL2,120,48,"[[-8.5, 76.5, -1.25], [31.5, 37.5, -2.0], [10.0, 20.25, -2.0]]","[[[-0.3541666567325592, -0.8968727588653564, 0.44228869676589966], [3.1875, -0.5555708408355713, -0.8314692378044128], [-0.0520833320915699, -0.16289547085762024, 0.9866433143615723]], [[1.3125, -0.831469714641571, -0.5555700063705444], [1.5625, -0.9807852506637573, 0.1950904130935669], [-0.0833333358168602, -0.258819043636322, 0.9659258127212524]], [[0.4166666567325592, 0.9659258127212524, 0.2588190734386444], [0.84375, 0.47139662504196167, -0.8819213509559631], [-0.0833333358168602, -0.258819043636322, 0.9659258127212524]]]"
