condition,offset_row,offset_column,ber
mild,-1,-1,0.50375
mild,-1,0,0.5050390625
mild,-1,1,0.499921875
mild,0,-1,0.499921875
mild,0,0,0.5075
mild,0,1,0.5044140625
mild,1,-1,0.5062890625
mild,1,0,0.504375
mild,1,1,0.50390625
moderate,-1,-1,0.5022265625
moderate,-1,0,0.501875
moderate,-1,1,0.503046875
moderate,0,-1,0.50421875
moderate,0,0,0.503359375
moderate,0,1,0.5027734375
moderate,1,-1,0.5044140625
moderate,1,0,0.5036328125
moderate,1,1,0.5011328125
severe,-1,-1,0.5064453125
severe,-1,0,0.503046875
severe,-1,1,0.505390625
severe,0,-1,0.50125
severe,0,0,0.5065625
severe,0,1,0.4976953125
severe,1,-1,0.505234375
severe,1,0,0.501328125
severe,1,1,0.5009375
