condition,bit_index,subband,cnn_ber,classical_ber,target_one_frequency,predicted_one_frequency,zero_ber,always_zero,always_one,is_worst_10
clean,0,LH2,0.0,0.14,0.525,0.525,True,False,False,True
clean,1,LH2,0.0,0.215,0.45,0.45,True,False,False,True
clean,2,LH2,0.0,0.215,0.54,0.54,True,False,False,True
clean,3,LH2,0.0,0.145,0.53,0.53,True,False,False,True
clean,4,LH2,0.0,0.11,0.5,0.5,True,False,False,True
clean,5,LH2,0.0,0.105,0.525,0.525,True,False,False,True
clean,6,LH2,0.0,0.25,0.52,0.52,True,False,False,False
clean,7,LH2,0.0,0.12,0.52,0.52,True,False,False,False
clean,8,LH2,0.0,0.09,0.495,0.495,True,False,False,False
clean,9,LH2,0.0,0.205,0.57,0.57,True,False,False,False
clean,10,LH2,0.0,0.195,0.545,0.545,True,False,False,False
clean,11,LH2,0.0,0.13,0.51,0.51,True,False,False,False
clean,12,LH2,0.0,0.095,0.54,0.54,True,False,False,False
clean,13,LH2,0.0,0.07,0.475,0.475,True,False,False,False
clean,14,LH2,0.0,0.095,0.52,0.52,True,False,False,False
clean,15,LH2,0.0,0.19,0.5,0.5,True,False,False,False
clean,16,LH2,0.0,0.165,0.5,0.5,True,False,False,False
clean,17,LH2,0.0,0.18,0.455,0.455,True,False,False,False
clean,18,LH2,0.0,0.055,0.54,0.54,True,False,False,False
clean,19,LH2,0.0,0.11,0.52,0.52,True,False,False,False
clean,20,LH2,0.0,0.075,0.5,0.5,True,False,False,False
clean,21,LH2,0.0,0.07,0.55,0.55,True,False,False,False
clean,22,LH2,0.0,0.125,0.485,0.485,True,False,False,False
clean,23,LH2,0.0,0.065,0.56,0.56,True,False,False,False
clean,24,LH2,0.0,0.17,0.525,0.525,True,False,False,False
clean,25,LH2,0.0,0.185,0.475,0.475,True,False,False,False
clean,26,LH2,0.0,0.145,0.535,0.535,True,False,False,False
clean,27,LH2,0.0,0.045,0.46,0.46,True,False,False,False
clean,28,LH2,0.0,0.09,0.58,0.58,True,False,False,False
clean,29,LH2,0.0,0.2,0.505,0.505,True,False,False,False
clean,30,LH2,0.0,0.02,0.51,0.51,True,False,False,False
clean,31,LH2,0.0,0.05,0.46,0.46,True,False,False,False
clean,32,LH2,0.0,0.145,0.53,0.53,True,False,False,False
clean,33,LH2,0.0,0.105,0.46,0.46,True,False,False,False
clean,34,LH2,0.0,0.08,0.44,0.44,True,False,False,False
clean,35,LH2,0.0,0.09,0.475,0.475,True,False,False,False
clean,36,LH2,0.0,0.22,0.545,0.545,True,False,False,False
clean,37,LH2,0.0,0.05,0.47,0.47,True,False,False,False
clean,38,LH2,0.0,0.035,0.5,0.5,True,False,False,False
clean,39,LH2,0.0,0.025,0.475,0.475,True,False,False,False
clean,40,LH2,0.0,0.125,0.495,0.495,True,False,False,False
clean,41,LH2,0.005,0.04,0.5,0.505,False,False,False,True
clean,42,LH2,0.0,0.075,0.51,0.51,True,False,False,False
clean,43,LH2,0.005,0.065,0.475,0.48,False,False,False,True
clean,44,LH2,0.0,0.1,0.54,0.54,True,False,False,False
clean,45,LH2,0.0,0.215,0.555,0.555,True,False,False,False
clean,46,LH2,0.0,0.03,0.415,0.415,True,False,False,False
clean,47,LH2,0.0,0.21,0.52,0.52,True,False,False,False
clean,48,LH2,0.0,0.12,0.515,0.515,True,False,False,False
clean,49,LH2,0.0,0.05,0.56,0.56,True,False,False,False
clean,50,LH2,0.0,0.055,0.485,0.485,True,False,False,False
clean,51,LH2,0.0,0.08,0.55,0.55,True,False,False,False
clean,52,LH2,0.0,0.085,0.525,0.525,True,False,False,False
clean,53,LH2,0.0,0.11,0.44,0.44,True,False,False,False
clean,54,LH2,0.0,0.085,0.5,0.5,True,False,False,False
clean,55,LH2,0.0,0.13,0.475,0.475,True,False,False,False
clean,56,LH2,0.0,0.09,0.51,0.51,True,False,False,False
clean,57,LH2,0.0,0.205,0.505,0.505,True,False,False,False
clean,58,LH2,0.0,0.12,0.51,0.51,True,False,False,False
clean,59,LH2,0.0,0.1,0.535,0.535,True,False,False,False
clean,60,LH2,0.0,0.135,0.475,0.475,True,False,False,False
clean,61,LH2,0.0,0.15,0.515,0.515,True,False,False,False
clean,62,LH2,0.0,0.215,0.52,0.52,True,False,False,False
clean,63,LH2,0.0,0.185,0.54,0.54,True,False,False,False
clean,64,HL2,0.0,0.225,0.525,0.525,True,False,False,False
clean,65,HL2,0.0,0.23,0.54,0.54,True,False,False,False
clean,66,HL2,0.0,0.15,0.5,0.5,True,False,False,False
clean,67,HL2,0.0,0.23,0.495,0.495,True,False,False,False
clean,68,HL2,0.0,0.15,0.49,0.49,True,False,False,False
clean,69,HL2,0.0,0.105,0.555,0.555,True,False,False,False
clean,70,HL2,0.0,0.145,0.58,0.58,True,False,False,False
clean,71,HL2,0.0,0.105,0.505,0.505,True,False,False,False
clean,72,HL2,0.0,0.175,0.455,0.455,True,False,False,False
clean,73,HL2,0.0,0.085,0.485,0.485,True,False,False,False
clean,74,HL2,0.0,0.115,0.49,0.49,True,False,False,False
clean,75,HL2,0.0,0.22,0.52,0.52,True,False,False,False
clean,76,HL2,0.0,0.245,0.57,0.57,True,False,False,False
clean,77,HL2,0.005,0.215,0.525,0.53,False,False,False,True
clean,78,HL2,0.0,0.06,0.44,0.44,True,False,False,False
clean,79,HL2,0.0,0.23,0.53,0.53,True,False,False,False
clean,80,HL2,0.0,0.11,0.51,0.51,True,False,False,False
clean,81,HL2,0.0,0.085,0.485,0.485,True,False,False,False
clean,82,HL2,0.0,0.02,0.525,0.525,True,False,False,False
clean,83,HL2,0.0,0.085,0.435,0.435,True,False,False,False
clean,84,HL2,0.0,0.05,0.475,0.475,True,False,False,False
clean,85,HL2,0.0,0.205,0.495,0.495,True,False,False,False
clean,86,HL2,0.0,0.095,0.535,0.535,True,False,False,False
clean,87,HL2,0.0,0.01,0.5,0.5,True,False,False,False
clean,88,HL2,0.0,0.11,0.51,0.51,True,False,False,False
clean,89,HL2,0.0,0.155,0.51,0.51,True,False,False,False
clean,90,HL2,0.0,0.025,0.46,0.46,True,False,False,False
clean,91,HL2,0.0,0.1,0.46,0.46,True,False,False,False
clean,92,HL2,0.0,0.035,0.495,0.495,True,False,False,False
clean,93,HL2,0.0,0.185,0.42,0.42,True,False,False,False
clean,94,HL2,0.0,0.145,0.535,0.535,True,False,False,False
clean,95,HL2,0.0,0.225,0.5,0.5,True,False,False,False
clean,96,HL2,0.0,0.175,0.52,0.52,True,False,False,False
clean,97,HL2,0.0,0.04,0.52,0.52,True,False,False,False
clean,98,HL2,0.0,0.18,0.505,0.505,True,False,False,False
clean,99,HL2,0.01,0.03,0.475,0.485,False,False,False,True
clean,100,HL2,0.0,0.135,0.59,0.59,True,False,False,False
clean,101,HL2,0.0,0.19,0.5,0.5,True,False,False,False
clean,102,HL2,0.0,0.13,0.51,0.51,True,False,False,False
clean,103,HL2,0.0,0.075,0.45,0.45,True,False,False,False
clean,104,HL2,0.0,0.13,0.48,0.48,True,False,False,False
clean,105,HL2,0.0,0.1,0.485,0.485,True,False,False,False
clean,106,HL2,0.0,0.105,0.48,0.48,True,False,False,False
clean,107,HL2,0.0,0.205,0.535,0.535,True,False,False,False
clean,108,HL2,0.0,0.13,0.5,0.5,True,False,False,False
clean,109,HL2,0.0,0.165,0.555,0.555,True,False,False,False
clean,110,HL2,0.0,0.18,0.58,0.58,True,False,False,False
clean,111,HL2,0.0,0.065,0.525,0.525,True,False,False,False
clean,112,HL2,0.0,0.17,0.465,0.465,True,False,False,False
clean,113,HL2,0.0,0.135,0.5,0.5,True,False,False,False
clean,114,HL2,0.0,0.17,0.475,0.475,True,False,False,False
clean,115,HL2,0.0,0.05,0.495,0.495,True,False,False,False
