row_id,base_pair_index,image_filename,payload_index,payload_fingerprint,condition,attacked_height,attacked_width,dwt_subband_height,dwt_subband_width,classical_ber,cnn_ber,cnn_mean_probability,cnn_mean_confidence
0,0,5233540.png,0,bad6366e8f83df4d68b7418183787a2527d66929e81f8a968f5357607d8890cd,clean,512,512,128,128,0.203125,0.0,0.5776888728141785,0.863495945930481
1,0,5233540.png,0,bad6366e8f83df4d68b7418183787a2527d66929e81f8a968f5357607d8890cd,mild,494,512,124,128,0.5703125,0.5546875,0.22997386753559113,0.7668209075927734
2,0,5233540.png,0,bad6366e8f83df4d68b7418183787a2527d66929e81f8a968f5357607d8890cd,moderate,447,509,112,128,0.609375,0.609375,0.2830667495727539,0.7614220380783081
3,0,5233540.png,0,bad6366e8f83df4d68b7418183787a2527d66929e81f8a968f5357607d8890cd,severe,389,505,98,127,0.5390625,0.5234375,0.24061569571495056,0.7589801549911499
4,1,5233540.png,1,d67d3e800bfbc2b70221bd798f679a95f90eee7295f55b6a24e47f21ded45f55,clean,512,512,128,128,0.1484375,0.0,0.49633657932281494,0.851677417755127
5,1,5233540.png,1,d67d3e800bfbc2b70221bd798f679a95f90eee7295f55b6a24e47f21ded45f55,mild,494,512,124,128,0.5234375,0.5234375,0.22775262594223022,0.7712633609771729
6,1,5233540.png,1,d67d3e800bfbc2b70221bd798f679a95f90eee7295f55b6a24e47f21ded45f55,moderate,447,509,112,128,0.453125,0.453125,0.2818278670310974,0.7589442133903503
7,1,5233540.png,1,d67d3e800bfbc2b70221bd798f679a95f90eee7295f55b6a24e47f21ded45f55,severe,389,505,98,127,0.5078125,0.5234375,0.24061569571495056,0.7589801549911499
8,2,5233654.png,0,b0d9826d06721939096f6dea3e61f2b55902fea04d3eb3a260495ceb8f127fc5,clean,512,512,128,128,0.03125,0.0,0.5253239870071411,0.8596387505531311
9,2,5233654.png,0,b0d9826d06721939096f6dea3e61f2b55902fea04d3eb3a260495ceb8f127fc5,mild,494,512,124,128,0.5078125,0.5078125,0.2836669683456421,0.6486121416091919
10,2,5233654.png,0,b0d9826d06721939096f6dea3e61f2b55902fea04d3eb3a260495ceb8f127fc5,moderate,447,509,112,128,0.4921875,0.515625,0.31831175088882446,0.6747809648513794
11,2,5233654.png,0,b0d9826d06721939096f6dea3e61f2b55902fea04d3eb3a260495ceb8f127fc5,severe,389,505,98,127,0.5,0.5078125,0.30629169940948486,0.6381197571754456
12,3,5233654.png,1,57136fba8284d589b716664175e5165e5d38b77b6d73d40d0f85e327f1b455e6,clean,512,512,128,128,0.03125,0.0,0.47516191005706787,0.8499577045440674
13,3,5233654.png,1,57136fba8284d589b716664175e5165e5d38b77b6d73d40d0f85e327f1b455e6,mild,494,512,124,128,0.4375,0.390625,0.2836669683456421,0.6486121416091919
14,3,5233654.png,1,57136fba8284d589b716664175e5165e5d38b77b6d73d40d0f85e327f1b455e6,moderate,447,509,112,128,0.484375,0.5078125,0.32043787837028503,0.6705286502838135
15,3,5233654.png,1,57136fba8284d589b716664175e5165e5d38b77b6d73d40d0f85e327f1b455e6,severe,389,505,98,127,0.4453125,0.453125,0.30502253770828247,0.6362247467041016
16,4,5233837.png,0,bb569bfd73c3e6ee2d84cc970f4ff5c882cf5612c49bc2a371224af1bb819ce9,clean,512,512,128,128,0.0,0.0,0.5751636028289795,0.8860573172569275
17,4,5233837.png,0,bb569bfd73c3e6ee2d84cc970f4ff5c882cf5612c49bc2a371224af1bb819ce9,mild,494,512,124,128,0.484375,0.4921875,0.3417508006095886,0.6950423717498779
18,4,5233837.png,0,bb569bfd73c3e6ee2d84cc970f4ff5c882cf5612c49bc2a371224af1bb819ce9,moderate,447,509,112,128,0.5625,0.5859375,0.35600292682647705,0.718804657459259
19,4,5233837.png,0,bb569bfd73c3e6ee2d84cc970f4ff5c882cf5612c49bc2a371224af1bb819ce9,severe,389,505,98,127,0.515625,0.515625,0.3473508954048157,0.6994435787200928
20,5,5233837.png,1,47e11f6d892502097da7c1f1b2501b0885a6556d80cfb8884c65e9ecebffbf22,clean,512,512,128,128,0.0,0.0,0.53482985496521,0.8783183097839355
21,5,5233837.png,1,47e11f6d892502097da7c1f1b2501b0885a6556d80cfb8884c65e9ecebffbf22,mild,494,512,124,128,0.53125,0.5546875,0.3417508006095886,0.6950423717498779
22,5,5233837.png,1,47e11f6d892502097da7c1f1b2501b0885a6556d80cfb8884c65e9ecebffbf22,moderate,447,509,112,128,0.46875,0.453125,0.35012155771255493,0.7194965481758118
23,5,5233837.png,1,47e11f6d892502097da7c1f1b2501b0885a6556d80cfb8884c65e9ecebffbf22,severe,389,505,98,127,0.4609375,0.5,0.3477048873901367,0.7001515626907349
24,6,5233987.png,0,5de5e59c62e96c80f3ab33967f5e386a8844879a984061f2f9a3a9f6571c441c,clean,512,512,128,128,0.0,0.0,0.5704705119132996,0.8843479752540588
25,6,5233987.png,0,5de5e59c62e96c80f3ab33967f5e386a8844879a984061f2f9a3a9f6571c441c,mild,494,512,124,128,0.5703125,0.578125,0.2985721826553345,0.7529799342155457
26,6,5233987.png,0,5de5e59c62e96c80f3ab33967f5e386a8844879a984061f2f9a3a9f6571c441c,moderate,447,509,112,128,0.5,0.5,0.23511342704296112,0.7537983059883118
27,6,5233987.png,0,5de5e59c62e96c80f3ab33967f5e386a8844879a984061f2f9a3a9f6571c441c,severe,389,505,98,127,0.59375,0.5390625,0.27540528774261475,0.722091555595398
28,7,5233987.png,1,562ad2f2109cae3619543092025635e1e62165029cd1d988637f4f895bf445be,clean,512,512,128,128,0.0,0.0,0.5380590558052063,0.8710343837738037
29,7,5233987.png,1,562ad2f2109cae3619543092025635e1e62165029cd1d988637f4f895bf445be,mild,494,512,124,128,0.4765625,0.484375,0.2985721826553345,0.7529799342155457
30,7,5233987.png,1,562ad2f2109cae3619543092025635e1e62165029cd1d988637f4f895bf445be,moderate,447,509,112,128,0.46875,0.4765625,0.23963692784309387,0.7558742761611938
31,7,5233987.png,1,562ad2f2109cae3619543092025635e1e62165029cd1d988637f4f895bf445be,severe,389,505,98,127,0.453125,0.4453125,0.27547019720077515,0.7219617366790771
32,8,5233992.png,0,eb9e572d2bbbfe7774b6733206b3a62fbee85473a19531b2c3065bfc327d639f,clean,512,512,128,128,0.0,0.0,0.5236414670944214,0.879467248916626
33,8,5233992.png,0,eb9e572d2bbbfe7774b6733206b3a62fbee85473a19531b2c3065bfc327d639f,mild,494,512,124,128,0.4921875,0.515625,0.45653223991394043,0.6778805255889893
34,8,5233992.png,0,eb9e572d2bbbfe7774b6733206b3a62fbee85473a19531b2c3065bfc327d639f,moderate,447,509,112,128,0.46875,0.46875,0.35921603441238403,0.7156876921653748
35,8,5233992.png,0,eb9e572d2bbbfe7774b6733206b3a62fbee85473a19531b2c3065bfc327d639f,severe,389,505,98,127,0.453125,0.453125,0.42937901616096497,0.7202357053756714
36,9,5233992.png,1,6334e0585d4527ba31e4cb2387bf040a7d95da486545bd4fb064b50c4da92f11,clean,512,512,128,128,0.0,0.0,0.6092935800552368,0.8912383317947388
37,9,5233992.png,1,6334e0585d4527ba31e4cb2387bf040a7d95da486545bd4fb064b50c4da92f11,mild,494,512,124,128,0.515625,0.4921875,0.45653223991394043,0.6778805255889893
38,9,5233992.png,1,6334e0585d4527ba31e4cb2387bf040a7d95da486545bd4fb064b50c4da92f11,moderate,447,509,112,128,0.5078125,0.5078125,0.3613486588001251,0.7114224433898926
39,9,5233992.png,1,6334e0585d4527ba31e4cb2387bf040a7d95da486545bd4fb064b50c4da92f11,severe,389,505,98,127,0.5546875,0.5078125,0.42935681343078613,0.720280110836029
40,10,5233997.png,0,3d21315e3a262473d99866ce2b403f5cb7cbd121aced9e0d45ab436e4eb44ae1,clean,512,512,128,128,0.0,0.0,0.5423980951309204,0.8755916357040405
41,10,5233997.png,0,3d21315e3a262473d99866ce2b403f5cb7cbd121aced9e0d45ab436e4eb44ae1,mild,494,512,124,128,0.5703125,0.546875,0.37239038944244385,0.7333323955535889
42,10,5233997.png,0,3d21315e3a262473d99866ce2b403f5cb7cbd121aced9e0d45ab436e4eb44ae1,moderate,447,509,112,128,0.5390625,0.4921875,0.4055064618587494,0.7078481912612915
43,10,5233997.png,0,3d21315e3a262473d99866ce2b403f5cb7cbd121aced9e0d45ab436e4eb44ae1,severe,389,505,98,127,0.4453125,0.4453125,0.3839244842529297,0.7330256104469299
44,11,5233997.png,1,856c00c660e07dd3261494490bf5e0ea19fe0fd757b50c67cab357a3be12b162,clean,512,512,128,128,0.0,0.0,0.44560104608535767,0.8553782105445862
45,11,5233997.png,1,856c00c660e07dd3261494490bf5e0ea19fe0fd757b50c67cab357a3be12b162,mild,494,512,124,128,0.453125,0.453125,0.3703094720840454,0.7291705012321472
46,11,5233997.png,1,856c00c660e07dd3261494490bf5e0ea19fe0fd757b50c67cab357a3be12b162,moderate,447,509,112,128,0.4296875,0.4296875,0.4069533348083496,0.7049545049667358
47,11,5233997.png,1,856c00c660e07dd3261494490bf5e0ea19fe0fd757b50c67cab357a3be12b162,severe,389,505,98,127,0.4921875,0.5234375,0.38481438159942627,0.7348053455352783
48,12,5234033.png,0,c47d135ea75bfce02c57f551080bada0deb20335f9f7f9acd88a66e2cb92fd6e,clean,512,512,128,128,0.0,0.0,0.46129465103149414,0.8625472784042358
49,12,5234033.png,0,c47d135ea75bfce02c57f551080bada0deb20335f9f7f9acd88a66e2cb92fd6e,mild,494,512,124,128,0.4453125,0.4453125,0.3532412648200989,0.6899515390396118
50,12,5234033.png,0,c47d135ea75bfce02c57f551080bada0deb20335f9f7f9acd88a66e2cb92fd6e,moderate,447,509,112,128,0.46875,0.484375,0.33700352907180786,0.6698319911956787
51,12,5234033.png,0,c47d135ea75bfce02c57f551080bada0deb20335f9f7f9acd88a66e2cb92fd6e,severe,389,505,98,127,0.4296875,0.4609375,0.3269117772579193,0.6985040903091431
52,13,5234033.png,1,a9b4a7244b9eb4a3b7ff880e398b7899f9be3b42c51ef2efa7de8a6271a5ec75,clean,512,512,128,128,0.0,0.0,0.5442677736282349,0.8731299638748169
53,13,5234033.png,1,a9b4a7244b9eb4a3b7ff880e398b7899f9be3b42c51ef2efa7de8a6271a5ec75,mild,494,512,124,128,0.4765625,0.4453125,0.350938618183136,0.6945569515228271
54,13,5234033.png,1,a9b4a7244b9eb4a3b7ff880e398b7899f9be3b42c51ef2efa7de8a6271a5ec75,moderate,447,509,112,128,0.515625,0.4921875,0.3401488661766052,0.6639153957366943
55,13,5234033.png,1,a9b4a7244b9eb4a3b7ff880e398b7899f9be3b42c51ef2efa7de8a6271a5ec75,severe,389,505,98,127,0.5546875,0.5546875,0.32538244128227234,0.701562762260437
56,14,5234037.png,0,52dd3a51cd82923d422e7d9cf8228a2408d2f3081eb5b7907a4b96cbf4f1736a,clean,512,512,128,128,0.0078125,0.0,0.5268175601959229,0.8751827478408813
57,14,5234037.png,0,52dd3a51cd82923d422e7d9cf8228a2408d2f3081eb5b7907a4b96cbf4f1736a,mild,494,512,124,128,0.515625,0.4921875,0.2879226803779602,0.7475592494010925
58,14,5234037.png,0,52dd3a51cd82923d422e7d9cf8228a2408d2f3081eb5b7907a4b96cbf4f1736a,moderate,447,509,112,128,0.5390625,0.515625,0.29898878931999207,0.7321768403053284
